阿壩當歸	aa[ek ba[tb dh[xx gv[ux
波狀輻襉藻	bo[dp vl[dq fu[ih jm[ym zc[cd
波狀蔓虎刺	bo[dp vl[dq mj[co hu[hj ci[cd
波狀石絲藻	bo[dp vl[dq ui[ek si[sh zc[cd
波狀胸隔藻	bo[dp vl[dq xs[ob ge[eh zc[cd
不稱多甲藻	bu[eu ig[hd do[xx jx[ou zc[cd
不稱翼藻	bu[eu ig[hd yi[xt zc[cd
捕蟲堇屬	bu[ff is[ks jb[nk uu[up
捕蟲瞿麥	bu[ff is[ks qu[mv md[fw
布袋蘭	bu[uj dd[ry lj[bs
布袋蘭屬	bu[uj dd[ry lj[bs uu[up
不丹松	bu[eu dj[kw ss[ab
不等胸隔藻	bu[eu dg[vt xs[ob ge[eh zc[cd
不定根	bu[eu dk[gp gf[ag
不定馬鞍藻	bu[eu dk[gp ma[vv an[gg zc[cd
不定胚	bu[eu dk[gp pw[ob
不定型復孢囊	bu[eu dk[gp xk[kt fu[ro bc[zb nh[hk
不定芽	bu[eu dk[gp ya[cy
不動精子	bu[eu ds[el jk[mf zi[lh
不對稱舟形藻	bu[eu dv[yc if[hd vz[pk xk[kp zc[cd
部分滅菌	bu[le ff[bd mp[hh jy[cw
不感受性	bu[eu gj[wx uz[ay xk[xp
不感受狀態	bu[eu gj[wx uz[ay vl[dq td[dx
補骨脂屬	bu[yb gu[ko vi[ob uu[up
不規則取樣	bu[eu gv[ej ze[bd qu[ey yh[ay
不規則三角藻	bu[eu gv[ej ze[bd sj[hh jn[do zc[cd
捕獲點	bu[ff ho[cq dm[bd
捕獲機率	bu[ff ho[cq ji[aj lv[wu
布來斯黴素	bu[uj ld[hm si[qj mw[yr su[fy
布朗耳蕨	bu[uj lh[lo er[hu jt[ci
布朗溫鬥魚	bu[uj lh[lo wf[do dz[du yu[dt
布郎運動	bu[uj lh[le yy[ez ds[el
布里安斑盤藻	bu[uj li[ot an[gn bj[ww pj[vm zc[cd
不連續變異	bu[eu lm[iz xu[su bm[yy yi[kc
不連續突變	bu[eu lm[iz xu[su tu[xq bm[yy
卜領	bu[ud lk[ry
布留克	bu[uj lq[pt ke[ge
布魯氏星臍藻	bu[uj lu[yo ui[pq xk[op qi[ow zc[cd
不眠單胞	bu[eu mm[mm dj[bo bc[ob
不眠多孢	bu[eu mm[mm do[xx bc[zb
補模式標本	bu[yb mo[ac ui[qg bn[ae bf[ah
不親合性	bu[eu qb[la he[rh xk[xp
不全變態	bu[eu qr[rw bm[yy td[dx
不全周種	bu[eu qr[rw vz[kt vs[hv
不稔病	bu[eu rf[hr bk[bh
布氏粗紋藻	bu[uj ui[pq cu[mq wf[sw zc[cd
布氏馬鞍藻	bu[uj ui[pq ma[vv an[gg zc[cd
布氏燒瓶	bu[uj ui[pq uc[hq pk[bw
捕食性線蟲	bu[ff ui[rl xk[xp xm[sj is[ks
布氏胸隔藻	bu[uj ui[pq xs[ob ge[eh zc[cd
布氏螽斯	bu[uj ui[pq vs[wi si[qj
布氏舟形藻	bu[uj ui[pq vz[pk xk[kp zc[cd
不受精卵	bu[eu uz[ay jk[mf lr[pe
不完全病毒	bu[eu wj[ge qr[rw bk[bh du[fm
不完全結晶	bu[eu wj[ge qr[rw jp[su jk[oo
不完全抗體	bu[eu wj[ge qr[rw kh[fw ti[ra
不完全期	bu[eu wj[ge qr[rw qi[qo
不完全葉	bu[eu wj[ge qr[rw ye[ku
布紋藻屬	bu[uj wf[sw zc[cd uu[up
捕線蟲真菌	bu[ff xm[sj is[ks vf[uj jy[cw
步行足	bu[vu xk[rh zu[kv
補血草	bu[yb xt[pm cc[co
補血草屬	bu[yb xt[pm cc[co uu[up
不應性	bu[eu yk[gx xk[xp
不育劑	bu[eu yu[wo ji[wd
不育性	bu[eu yu[wo xk[xp
不育雄	bu[eu yu[wo xs[uv
不暈紅	bu[eu yy[og hs[sg
不孕津	bu[eu yy[nz jb[dy
不孕磷	bu[eu yy[nz lb[em
不孕作用	bu[eu yy[nz zo[rv ys[ou
布崽	bu[uj zd[ut
布贊榕蠣蚧	bu[uj zj[nb rs[ax li[ii jp[ir
布渣葉屬	bu[uj va[da ye[ku uu[up
不整子囊菌類	bu[eu vg[hh zi[lh nh[hk jy[cw lw[md
補足腺	bu[yb zu[kv xm[ob
菜長翅蜢	cd[ca ih[ph ii[ux mg[iz
菜豆	cd[ca dz[hk
菜豆白絹病	cd[ca dz[hk bd[po jr[sk bk[bh
菜豆腐黴病	cd[ca dz[hk fu[gk mw[yr bk[bh
菜豆灰黴病	cd[ca dz[hk hv[uh mw[yr bk[bh
菜豆薊馬	cd[ca dz[hk ji[cy ma[vv
菜豆菌核病	cd[ca dz[hk jy[cw he[aw bk[bh
菜豆潛蠅	cd[ca dz[hk qm[de yk[ik
菜豆蛇潛蠅	cd[ca dz[hk ue[ig qm[de yk[ik
菜豆屬	cd[ca dz[hk uu[up
菜豆樹屬	cd[ca dz[hk uu[ay uu[up
菜豆絲核菌病	cd[ca dz[hk si[sh he[aw jy[cw bk[bh
菜豆象	cd[ca dz[hk xl[dk
菜蛾	cd[ca ee[ip
彩荷仙	cd[ap he[cr xm[ru
彩花菰屬	cd[ap hx[cr gu[cz uu[up
菜薊屬	cd[ca ji[cy uu[up
菜椒	cd[ca jn[au
採木屬	cd[aa mu[ub uu[up
彩鰭坦克	cd[ap qi[yt tj[to ke[ge
菜頭腎	cd[ca tz[dd uf[uo
菜禿蝗	cd[ca tu[hj hl[ib
採握籃	cd[aa wo[fu lj[vu
彩肖金夜蛾	cd[ap xn[xo jb[rw ye[wr ee[ip
菜心野螟	cd[ca xb[dv ye[oy mk[ig
彩葉草	cd[ap ye[ku cc[co
菜葉蜂	cd[ca ye[ku fg[iw
菜縊管蚜	cd[ca yi[sb gr[vg ya[iy
殘臭	cj[hj iz[zq
蠶豆白絹病	cj[ti dz[hk bd[po jr[sk bk[bh
蠶豆白紋羽病	cj[ti dz[hk bd[po wf[sw yu[xx bk[bh
蠶豆斑駁病毒	cj[ti dz[hk bj[ww bo[mi bk[bh du[fm
蠶豆紅足象	cj[ti dz[hk hs[sg zu[kv xl[dk
蠶豆壞死病毒	cj[ti dz[hk hk[tb si[hx bk[bh du[fm
蠶豆黃脈病毒	cj[ti dz[hk hl[gy md[od bk[bh du[fm
蠶豆莖基腐病	cj[ti dz[hk jk[cs ji[qt fu[gk bk[bh
蠶豆菌核病	cj[ti dz[hk jy[cw he[aw bk[bh
蠶豆屬	cj[ti dz[hk uu[up
蠶豆霜黴病	cj[ti dz[hk ul[ya mw[yr bk[bh
蠶豆絲核菌病	cj[ti dz[hk si[sh he[aw jy[cw bk[bh
蠶豆萎蔫病毒	cj[ti dz[hk ww[ch nm[ch bk[bh du[fm
蠶豆象	cj[ti dz[hk xl[dk
蠶豆疫病	cj[ti dz[hk yi[bj bk[bh
蠶繭草	cj[ti jm[ci cc[co
燦爛斜紋藻	cj[hu lj[hb xp[rd wf[sw zc[cd
殘留容許量	cj[hj lq[pt rs[xr xu[yw ll[oh
殘殺威	cj[hj ua[ia ww[wh
蠶飾腹寄蠅	cj[ti ui[ur fu[or ji[gd yk[ik
參薯	cj[sd uu[cs
殘效性	cj[hj xn[lw xk[xp
殘株腐朽病	cj[hj vu[ap fu[gk xq[ak bk[bh
殘株心腐	cj[hj vu[ap xb[dv fu[gk
殘株心腐病	cj[hj vu[ap xb[dv fu[gk bk[bh
殘株心心腐病	cj[hj vu[ap xb[dv xb[dv fu[gk bk[bh
藏百合屬	ch[cw bd[eo he[rh uu[up
藏報春花	ch[cw bc[fe iy[so hx[cr
藏布三芒草	ch[cw bu[uj sj[hh mh[cw cc[co
蒼翅虎天牛	ch[cr ii[ux hu[hj tm[hd nq[pf
藏臭草	ch[cw iz[zq cc[co
藏川楊	ch[cw ir[pu yh[av
藏豆屬	ch[cw dz[hk uu[up
蒼耳	ch[cr er[hu
蒼耳屬	ch[cr er[hu uu[up
藏瓜屬	ch[cw gx[ps uu[up
蒼果	ch[cr go[oa
藏紅杉	ch[cw hs[sg uj[ap
藏花忍冬	ch[cw hx[cr rf[dx ds[wd
藏黃花茅	ch[cw hl[gy hx[cr mc[cy
藏茴芹	ch[cw hv[cw qb[cj
藏芨芨草	ch[cw ji[cj ji[cj cc[co
藏薺屬	ch[cw ji[cw uu[up
藏芥屬	ch[cw jp[cr uu[up
藏菊屬	ch[cw ju[cb uu[up
倉庫燻蒸	ch[re ku[gi xy[pd vg[cl
藏欖屬	ch[cw lj[au uu[up
藏冷杉	ch[cw lg[dr uj[ap
藏卵器	ch[cw lr[pe qi[kq
蒼綠苔草	ch[cr lv[sx td[cs cc[co
藏麻黃	ch[cw ma[ga hl[gy
蒼山冷杉	ch[cr uj[uk lg[dr uj[ap
藏苔草	ch[cw td[cs cc[co
藏瓦蓮屬	ch[cw wa[hv lm[ci uu[up
蒼朮	ch[cr vu[ad
蒼朮屬	ch[cr vu[ad uu[up
草本植物	cc[co bf[ah vi[au wu[nb
糙草	cc[mn cc[co
糙草屬	cc[mn cc[co uu[up
草沉香	cc[co if[dg xl[ho
草茨藻	cc[co ci[cd zc[cd
草蓯蓉	cc[co cs[cr rs[cx
草蓯蓉屬	cc[co cs[cr rs[cx uu[up
草達克	cc[co da[dz ke[ge
草地風毛菊	cc[co di[ty fg[ji mc[sv ju[cb
草地蠣蚧	cc[co di[ty li[ii jp[ir
草地亮葉芹	cc[co di[ty ll[wj ye[ku qb[cj
草地麻花頭	cc[co di[ty ma[ga hx[cr tz[dd
草地毛茛	cc[co di[ty mc[sv gf[cg
草地糖芥	cc[co di[ty th[mg jp[cr
草地新葉蚜	cc[co di[ty xb[lj ye[ku ya[iy
草地蟻	cc[co di[ty yi[id
草地早熟禾	cc[co di[ty zc[ou uu[wd he[pa
草甸阿魏	cc[co dm[bt aa[ek ww[hg
草甸藁本	cc[co dm[bt gc[ca bf[ah
草甸箭葉蓼	cc[co dm[bt jm[vb ye[ku ln[cx
草甸老鸛草	cc[co dm[bt lc[tb gr[cn cc[co
草甸碎米薺	cc[co dm[bt sv[ew mi[ba ji[cw
草甸羊茅	cc[co dm[bt yh[bs mc[cy
糙獨活	cc[mn du[qi ho[dq
草杜鵑	cc[co du[at jr[kn
槽稈荸薺	cc[ah gj[hg bi[cu qi[cw
糙果芹	cc[mn go[oa qb[cj
草海桐科	cc[co hd[dr ts[ak ke[hd
草海桐屬	cc[co hd[dr ts[ak uu[up
草胡椒	cc[co hu[go jn[au
草胡椒屬	cc[co hu[go jn[au uu[up
草黃連	cc[co hl[gy lm[iz
草薊馬	cc[co ji[cy ma[vv
草克樂	cc[co ke[ge le[px
槽裂木屬	cc[ah lp[hy mu[ub uu[up
槽鱗扁莎	cc[ah lb[ym bm[hk ua[cd
草龍	cc[co ls[yp
草龍珠	cc[co ls[yp vu[wp
草蘆花葉病毒	cc[co lu[ch hx[cr ye[ku bk[bh du[fm
草綠蝗	cc[co lv[sx hl[ib
草履蚧	cc[co lv[ur jp[ir
草綠皮果藻	cc[co lv[sx pi[vp go[oa zc[cd
草履碩蚧	cc[co lv[ur uo[ey jp[ir
草麻黃	cc[co ma[ga hl[gy
糙毛五加	cc[mn mc[sv wu[hu jx[lk
糙毛野青茅	cc[mn mc[sv ye[oy qk[fo mc[cy
糙莓	cc[mn mw[cr
草莓斑駁病毒	cc[co mw[cr bj[ww bo[mi bk[bh du[fm
草莓波紋蛾	cc[co mw[cr bo[dp wf[sw ee[ip
草莓長蝽	cc[co mw[cr ih[ph iy[is
草莓車軸草	cc[co mw[cr ie[qu vz[iy cc[co
草莓尺蛾	cc[co mw[cr ii[ud ee[ip
草莓釘毛蚜	cc[co mw[cr dk[jd mc[sv ya[iy
草莓粉蝨	cc[co mw[cr ff[mf ui[vp
草莓根腐疫病	cc[co mw[cr gf[ag fu[gk yi[bj bk[bh
草莓根黴病	cc[co mw[cr gf[ag mw[yr bk[bh
草莓根蚜	cc[co mw[cr gf[ag ya[iy
草莓果疫病	cc[co mw[cr go[oa yi[bj bk[bh
草莓黑切葉象	cc[co mw[cr hw[sd qp[qd ye[ku xl[dk
草莓花象甲	cc[co mw[cr hx[cr xl[dk jx[ou
草莓黃萎病	cc[co mw[cr hl[gy ww[ch bk[bh
草莓灰黴病	cc[co mw[cr hv[uh mw[yr bk[bh
草莓尖翅蛾	cc[co mw[cr jm[xd ii[ux ee[ip
草莓角胸葉甲	cc[co mw[cr jn[do xs[ob ye[ku jx[ou
草莓莖線蟲病	cc[co mw[cr jk[cs xm[sj is[ks bk[bh
草莓菌核病	cc[co mw[cr jy[cw he[aw bk[bh
草莓枯萎病	cc[co mw[cr ku[ag ww[ch bk[bh
草莓藍葉甲	cc[co mw[cr lj[cu ye[ku jx[ou
草莓脈帶病毒	cc[co mw[cr md[od dd[cj bk[bh du[fm
草莓毛管蚜	cc[co mw[cr mc[sv gr[vg ya[iy
草莓曲葉蜂	cc[co mw[cr qu[ou ye[ku fg[iw
草莓梢卷蛾	cc[co mw[cr uc[ax jr[be ee[ip
草莓屬	cc[co mw[cr uu[up
草莓絲核菌病	cc[co mw[cr si[sh he[aw jy[cw bk[bh
草莓天社蛾	cc[co mw[cr tm[hd ue[ut ee[ip
草莓跳甲	cc[co mw[cr tn[zv jx[ou
草莓細腰葉蜂	cc[co mw[cr xi[st yc[ox ye[ku fg[iw
草莓小卷蛾	cc[co mw[cr xn[ub jr[be ee[ip
草莓蚜	cc[co mw[cr ya[iy
草莓蟻舟蛾	cc[co mw[cr yi[id vz[pk ee[ip
草莓皺縮病毒	cc[co mw[cr vz[dp so[sg bk[bh du[fm
草猛死	cc[co mg[qz si[hx
草棉	cc[co mm[ab
草棉屬	cc[co mm[ab uu[up
草滅散	cc[co mp[hh sj[gw
草滅特	cc[co mp[hh te[nt
草木樨	cc[co mu[ub xi[au
草木犀黃芪	cc[co mu[ub xi[uu hl[gy qi[cu
草木樨菌核病	cc[co mu[ub xi[au jy[cw he[aw bk[bh
草木樨屬	cc[co mu[ub xi[au uu[up
草木犀屬	cc[co mu[ub xi[uu uu[up
草木植被	cc[co mu[ub vi[au bw[yp
草乃敵	cc[co nd[vp di[qw
草泥丸	cc[co ni[du wj[jd
糙皮樺	cc[mn pi[vp hx[ar
草絨蚧	cc[co rs[sg jp[ir
草瑞香	cc[co rv[wu xl[ho
糙三芒草	cc[mn sj[hh mh[cw cc[co
草沙蠶屬	cc[co ua[dx cj[ti uu[up
草珊瑚	cc[co uj[wk hu[wg
草珊瑚屬	cc[co uj[wk hu[wg uu[up
草芍藥	cc[co uc[cb yc[cs
槽舌蘭屬	cc[ah ue[qk lj[bs uu[up
糙蘇	cc[mn su[cl
糙蘇屬	cc[mn su[cl uu[up
草特磷	cc[co te[nt lb[em
草藤	cc[co tg[co
草蹄葉	cc[co ti[zl ye[ku
糙葶韭	cc[mn tk[cw jq[fh
草問荊	cc[co wf[mk jk[cd
草蟋蟀	cc[co xi[ip uk[iw
草屑長蚧	cc[co xp[ux ih[ph jp[ir
草屑雪盾蚧	cc[co xp[ux xt[yx dy[pu jp[ir
草繡球屬	cc[co xq[sh qq[wh uu[up
糙葉敗醬	cc[mn ye[ku bd[bw jl[dy
糙葉蔥木	cc[mn ye[ku cs[cb mu[ub
糙葉大頭橐吾	cc[mn ye[ku da[hr tz[dd to[he wu[wk
草葉耳蕨	cc[co ye[ku er[hu jt[ci
糙葉黃芪	cc[mn ye[ku hl[gy qi[cu
糙葉堇菜	cc[mn ye[ku jb[nk cd[ca
糙野青茅	cc[mn ye[oy qk[fo mc[cy
糙葉樹	cc[mn ye[ku uu[ay
糙葉樹屬	cc[mn ye[ku uu[ay uu[up
糙葉苔草	cc[mn ye[ku td[cs cc[co
糙葉藤五加	cc[mn ye[ku tg[co wu[hu jx[lk
糙葉五加	cc[mn ye[ku wu[hu jx[lk
糙隱子草	cc[mn yb[ed zi[lh cc[co
糙穎剪股穎	cc[mn yk[by jm[bd gu[oj yk[by
草玉梅	cc[co yu[wd mw[ar
草原黃芪	cc[co yr[ib hl[gy qi[cu
草原看麥娘	cc[co yr[ib kj[fm md[fw nl[nl
草原前胡	cc[co yr[ib qm[bo hu[go
草原勿忘草	cc[co yr[ib wu[bp wh[wx cc[co
草原植物	cc[co yr[ib vi[au wu[nb
草藻滅	cc[co zc[cd mp[hh
草澤瀉	cc[co ze[dy xp[dg
草螽	cc[co vs[wi
草珠黃芪	cc[co vu[wp hl[gy qi[cu
草茱萸	cc[co vu[cp yu[cj
草茱萸屬	cc[co vu[cp yu[cj uu[up
操縱基因	cc[fk zs[sr ji[qt yb[wd
側柏	ce[rb bd[ab
側柏毒蛾	ce[rb bd[ab du[fm ee[ip
側柏切葉象甲	ce[rb bd[ab qp[qd ye[ku xl[dk jx[ou
側柏屬	ce[rb bd[ab uu[up
側板內基	ce[rb bj[ap nw[kr ji[qt
側棒	ce[rb bh[as
側背片	ce[rb bw[bo pm[pu
側背線	ce[rb bw[bo xm[sj
側翅突	ce[rb ii[ux tu[xq
側出平行脈	ce[rb iu[ck pk[hb xk[rh md[od
側脣舌	ce[rb iy[ik ue[qk
側刺突	ce[rb ci[cd tu[xq
側單眼	ce[rb dj[bo yj[mg
側額鬃	ce[rb ee[gy zs[ig
側耳菌	ce[rb er[hu jy[cw
側腹瘤	ce[rb fu[or lq[bp
側腹片	ce[rb fu[or pm[pu
側腹腺	ce[rb fu[or xm[ob
側關節窩	ce[rb gr[bt jp[ce wo[xk
側基外片	ce[rb ji[qt wd[xb pm[pu
側金盞花	ce[rb jb[rw vj[jm hx[cr
側金盞花屬	ce[rb jb[rw vj[jm hx[cr uu[up
側頸片	ce[rb jk[sy pm[pu
側瘤	ce[rb lq[bp
側隆線	ce[rb ls[ew xm[sj
側毛斑	ce[rb mc[sv bj[ww
測面積儀	ce[db mm[ew ji[hk yi[rd
側膜	ce[rb mo[oc
側膜片	ce[rb mo[oc pm[pu
側膜胎座	ce[rb mo[oc td[os zo[gr
側偏多甲藻	ce[rb pm[rh do[xx jx[ou zc[cd
側器	ce[rb qi[kq
側氣管幹	ce[rb qi[rh gr[vg gj[hu
側器開口	ce[rb qi[kq kd[hc kz[uv
側蕊屬	ce[rb rv[cx uu[up
側生	ce[rb ug[pf
側絲	ce[rb si[sh
測糖計	ce[db th[mg ji[yu
側尾腺口	ce[rb ww[um xm[ob kz[uv
側尾腺口盤	ce[rb ww[um xm[ob kz[uv pj[vm
側窩眼紋藻	ce[rb wo[xk yj[mg wf[sw zc[cd
側向垂周分裂	ce[rb xl[pk iv[ph vz[kt ff[bd lp[hy
側懸骨	ce[rb xr[qx gu[ko
側腋膜	ce[rb ye[ow mo[oc
測指示劑	ce[db vi[fb ui[ex ji[wd
箣柊屬	ce[[ vs[[ uu[up
箣竹屬	ce[[ vu[rr uu[up
側茁黴	ce[rb vo[ci mw[yr
梣長小蠹	cf[[ ih[ph xn[ub du[hi
梣尺蠖	cf[[ ii[ud ho[ic
梣木小蠹	cf[[ mu[ub xn[ub du[hi
梣屬	cf[[ uu[up
梣葉槭	cf[[ ye[ku qi[aw
梣縊管蚜	cf[[ yi[sb gr[vg ya[iy
層梗旋孢黴	cg[ue gg[ah xr[fr bc[zb mw[yr
層孔菌	cg[ue ks[zv jy[cw
曾立勤	cg[bo li[lh qb[nl
曾思睿	cg[bo si[tx rv[bh
層性	cg[ue xk[xp
曾梓渝	cg[bo zi[al yu[dr
茶白毒蛾	ia[cr bd[po du[fm ee[ip
茶白盾蚧	ia[cr bd[po dy[pu jp[ir
茶白絹病	ia[cr bd[po jr[sk bk[bh
茶白紋羽病	ia[cr bd[po wf[sw yu[xx bk[bh
茶白藻病	ia[cr bd[po zc[cd bk[bh
茶斑病	ia[cr bj[ww bk[bh
茶半跗線蟎	ia[cr bj[bf fu[zr xm[sj mj[ic
茶半輪線蟲病	ia[cr bj[bf ly[ir xm[sj is[ks bk[bh
茶斑弄蝶	ia[cr bj[ww ns[wc dp[in
茶斑皮蠹	ia[cr bj[ww pi[vp du[hi
茶蚌圓蚧	ia[cr bh[if yr[wk jp[ir
茶苞病	ia[cr bc[cb bk[bh
叉孢蘇鐵	ia[yd bc[zb su[cl tp[jp
茶邊窗蛾	ia[cr bm[lz il[xp ee[ip
茶扁葉蟬	ia[cr bm[hk ye[ku ij[ib
茶藨	ia[cr bn[[
茶藨子	ia[cr bn[[ zi[lh
茶藨子釘毛蚜	ia[cr bn[[ zi[lh dk[jd mc[sv ya[iy
茶藨子科	ia[cr bn[[ zi[lh ke[hd
茶藨子屬	ia[cr bn[[ zi[lh uu[up
茶並盾蚧	ia[cr bk[bk dy[pu jp[ir
茶長卷蛾	ia[cr ih[ph jr[be ee[ip
茶翅尺蛾	ia[cr ii[ux ii[ud ee[ip
茶翅青蝽	ia[cr ii[ux qk[fo iy[is
叉齒突	ia[yd ii[vr tu[xq
茶窗蛾	ia[cr il[xp ee[ip
叉脣角盤蘭	ia[yd iy[ik jn[do pj[vm lj[bs
茶刺葉癭蟎	ia[cr ci[cd ye[ku yk[bb mj[ic
茶單蛻盾蚧	ia[cr dj[bo tv[ib dy[pu jp[ir
茶點蚧	ia[cr dm[bd jp[ir
查定損失	ia[ao dk[gp sy[fk ui[pe
茶二岔蚜	ia[cr er[hh ia[fu ya[iy
查爾雙壁藻	ia[ao er[dx ul[yy bi[ut zc[cd
叉繁縷	ia[yd fj[ry lv[sm
茶翻套殼孢病	ia[cr fj[px tc[di ke[ug bc[zb bk[bh
叉分多甲藻	ia[yd ff[bd do[xx jx[ou zc[cd
茶粉蝨	ia[cr ff[mf ui[vp
茶杆竹	ia[cr gj[ag vu[rr
茶稈竹	ia[cr gj[hg vu[rr
茶稈竹屬	ia[cr gj[hg vu[rr uu[up
茶根粉蚧	ia[cr gf[ag ff[mf jp[ir
茶根腐線蟲病	ia[cr gf[ag fu[gk xm[sj is[ks bk[bh
茶根結線蟲病	ia[cr gf[ag jp[su xm[sj is[ks bk[bh
叉梗茅膏菜	ia[yd gg[ah mc[cy gc[wk cd[ca
茶棍薊馬	ia[cr gy[ao ji[cy ma[vv
茶褐膏藥病	ia[cr he[yo gc[wk yc[cs bk[bh
茶褐獵蝽	ia[cr he[yo lp[qg iy[is
茶褐圓蚧	ia[cr he[yo yr[wk jp[ir
茶褐痣病	ia[cr he[yo vi[bu bk[bh
茶黑星病	ia[cr hw[sd xk[op bk[bh
茶黑星蚧	ia[cr hw[sd xk[op jp[ir
茶黃毒蛾	ia[cr hl[gy du[fm ee[ip
茶黃薊馬	ia[cr hl[gy ji[cy ma[vv
茶黃潛蠅	ia[cr hl[gy qm[de yk[ik
茶灰膏藥病	ia[cr hv[uh gc[wk yc[cs bk[bh
叉喙蘭屬	ia[yd hv[kv lj[bs uu[up
茶尖角盾蚧	ia[cr jm[xd jn[do dy[pu jp[ir
茶鮫肌病	ia[cr jn[yl ji[oj bk[bh
叉角藻	ia[yd jn[do zc[cd
茶科	ia[cr ke[hd
茶蛞蝓	ia[cr ko[iq yu[ir
茶梨屬	ia[cr li[ha uu[up
查林尖甲藻	ia[ao lb[aa jm[xd jx[ou zc[cd
茶菱	ia[cr lk[ct
茶菱屬	ia[cr lk[ct uu[up
茶鹿子科	ia[cr lu[gb zi[lh ke[hd
茶綠葉蟬	ia[cr lv[sx ye[ku ij[ib
叉毛蓬屬	ia[yd mc[sv pg[cw uu[up
茶梅	ia[cr mw[ar
茶梅餅病	ia[cr mw[ar bk[ub bk[bh
茶梅劍線蟲病	ia[cr mw[ar jm[rd xm[sj is[ks bk[bh
茶梅鮫肌病	ia[cr mw[ar jn[yl ji[oj bk[bh
茶梅菌核病	ia[cr mw[ar jy[cw he[aw bk[bh
茶梅輪線蟲病	ia[cr mw[ar ly[ir xm[sj is[ks bk[bh
茶梅平餅病	ia[cr mw[ar pk[hb bk[ub bk[bh
茶梅鯊皮病	ia[cr mw[ar ua[dy pi[vp bk[bh
茶梅煙黴菌病	ia[cr mw[ar yj[hw mw[yr jy[cw bk[bh
茶梅藻斑病	ia[cr mw[ar zc[cd bj[ww bk[bh
茶蜜環菌病	ia[cr mi[gi hr[wb jy[cw bk[bh
茶螟	ia[cr mk[ig
檫木	ia[ag mu[ub
檫木屬	ia[ag mu[ub uu[up
茶南潛蠅	ia[cr nj[uk qm[de yk[ik
茶片盾蚧	ia[cr pm[pu dy[pu jp[ir
茶婆蟲	ia[cr po[dn is[ks
叉前脈	ia[yd qm[bo md[od
插入變異	ia[fq ru[pd bm[yy yi[kc
茶色長蝽	ia[cr se[db ih[ph iy[is
茶色地虎	ia[cr se[db di[ty hu[hj
茶色蛛甲	ia[cr se[db vu[ip jx[ou
茶鯊皮病	ia[cr ua[dy pi[vp bk[bh
檫傷	ia[ag uh[rr
茶屬	ia[cr uu[up
茶樹帕螟	ia[cr uu[ay pa[jb mk[ig
茶霜尺蠖	ia[cr ul[ya ii[ud ho[ic
叉絲單囊殼	ia[yd si[sh dj[bo nh[hk ke[ug
茶絲核菌病	ia[cr si[sh he[aw jy[cw bk[bh
叉絲殼	ia[yd si[sh ke[ug
茶絲絨膏藥病	ia[cr si[sh rs[sg gc[wk yc[cs bk[bh
差速離心法	ia[yg su[hz li[wk xb[dv fa[dt
茶檀	ia[cr tj[aw
插探	ia[fq tj[fg
插田泡	ia[fq tm[wu pc[db
茶條木屬	ia[cr tn[wa mu[ub uu[up
茶條槭	ia[cr tn[wa qi[aw
叉突	ia[yd tu[xq
茶網餅病	ia[cr wh[ki bk[ub bk[bh
叉紋雙眉藻	ia[yd wf[sw ul[yy mw[mm zc[cd
叉紋胸隔藻	ia[yd wf[sw xs[ob ge[eh zc[cd
茶烏葉蟬	ia[cr wu[bv ye[ku ij[ib
茶細蛾	ia[cr xi[st ee[ip
茶小卷蛾	ia[cr xn[ub jr[be ee[ip
茶星煤病	ia[cr xk[op mw[hg bk[bh
叉形鰭藻	ia[yd xk[kp qi[yt zc[cd
茶鏽刺蛾	ia[cr xq[jh ci[cd ee[ip
叉序草屬	ia[yd xu[gy cc[co uu[up
茶葉斑病	ia[cr ye[ku bj[ww bk[bh
茶葉甲	ia[cr ye[ku jx[ou
叉葉藍屬	ia[yd ye[ku lj[cu uu[up
叉葉蘇鐵	ia[yd ye[ku su[cl tp[jp
茶葉癭蟎	ia[cr ye[ku yk[bb mj[ic
茶用克尺蛾	ia[cr ys[ou ke[ge ii[ud ee[ip
察隅冷杉	ia[gx yu[eo lg[dr uj[ap
茶雲紋尺蠖	ia[cr yy[es wf[sw ii[ud ho[ic
茶藻斑病	ia[cr zc[cd bj[ww bk[bh
叉枝西風芹	ia[yd vi[au xi[hk fg[ji qb[cj
叉柱花屬	ia[yd vu[ad hx[cr uu[up
叉柱蘭屬	ia[yd vu[ad lj[bs uu[up
茶茱萸科	ia[cr vu[cp yu[cj ke[hd
茶紫長蚧	ia[cr zi[vy ih[ph jp[ir
茶紫紋羽病	ia[cr zi[vy wf[sw yu[xx bk[bh
叉子圓柏	ia[yd zi[lh yr[wk bd[ab
茶棕盾蚧	ia[cr zs[ag dy[pu jp[ir
柴胡屬	id[va hu[go uu[up
柴胡狀斑膜芹	id[va hu[go vl[dq bj[ww mo[oc qb[cj
柴樺	id[va hx[ar
柴龍樹屬	id[va ls[yp uu[ay uu[up
柴盆花	id[va pf[fm hx[cr
豺皮樟	id[pc pi[vp vh[al
柴普	id[va pu[bo
柴首	id[va uz[be
釵子股屬	id[jy zi[lh gu[oj uu[up
產孢枝	ij[lp bc[zb vi[au
產孢子器	ij[lp bc[zb zi[lh qi[kq
產孢組織	ij[lp bc[zb zu[sq vi[sk
產精體	ij[lp jk[mf ti[ra
產卵器	ij[lp lr[pe qi[kq
產卵器鞘	ij[lp lr[pe qi[kq qn[gx
