哀而不傷	ai[wk er[ek bu[eu uh[rr
一言而可以興邦	yi[hh yj[we er[ek ke[dk yi[sr xk[xb bh[fe
一言而喪邦	yi[hh yj[we er[ek sh[ty bh[fe
一言以蔽之	yi[hh yj[we yi[sr bi[cb vi[dv
一言以為不知	yi[hh yj[we yi[sr ww[dl bu[eu vi[uk
益矣	yi[bm yi[su
已矣乎	yi[kv yi[su hu[pb
抑亦可以為	yi[fp yi[wy ke[dk yi[sr ww[dl
怡怡如也	yi[xs yi[xs ru[nk ye[vu
抑亦先覺者	yi[fp yi[wy xm[ne jt[xj ve[to
以雍徹	yi[sr ys[ws ie[rq
亦有惡乎	yi[wy yz[uo ee[hx hu[pb
以友輔仁	yi[sr yz[uy fu[if rf[re
以與爾鄰里鄉黨乎	yi[sr yu[hv er[dx lb[re li[ot xl[sp dh[xk hu[pb
依於仁	yi[ry yu[eu rf[re
抑與之與	yi[fp yu[hv vi[dv yu[hv
以約失之者鮮矣	yi[sr yt[sb ui[pe vi[dv ve[to xm[yy yi[su
億則屢中	yi[rv ze[bd lv[um vs[ku
一則以懼	yi[hh ze[bd yi[sr ju[xj
一則以喜	yi[hh ze[bd yi[sr xi[uk
以杖	yi[sr vh[ah
以杖荷	yi[sr vh[ah he[cr
一朝之忿	yi[hh vc[uo vi[dv ff[fx
益者三樂	yi[bm ve[to sj[hh le[px
益者三友	yi[bm ve[to sj[hh yz[uy
益者與	yi[bm ve[to yu[hv
以直報怨	yi[sr vi[uj bc[fe yr[xx
繹之為貴	yi[sy vi[dv ww[dl gv[vb
亦只以異	yi[wy vi[kb yi[sr yi[kc
義之與比	yi[di vi[dv yu[hv bi[bb
已知之矣	yi[kv vi[uk vi[dv yi[su
以忠	yi[sr vs[vx
亦足以發	yi[wy zu[kv yi[sr fa[vy
因不失其親	yb[wd bu[eu ui[pe qi[cb qb[la
隱居放言	yb[ed ju[ug fh[fw yj[we
隱居以	yb[ed ju[ug yi[sr
殷禮	yb[pj li[uv
因民之所利而利之	yb[wd mb[kv vi[dv so[pj li[hd er[ek li[hd vi[dv
殷人以柏	yb[pj rf[pd yi[sr bd[ab
飲水	yb[ud uv[uu
誾誾如也	yb[[ yb[[ ru[nk ye[vu
殷因於夏禮	yb[pj yb[wd yu[eu xx[ew li[uv
殷有三仁焉	yb[pj yz[uo sj[hh rf[re yj[hh
隱者也	yb[ed ve[to ye[vu
因之以饑饉	yb[wd vi[dv yi[sr ji[uj jb[un
用不臧	ys[ou bu[eu zh[wk
用不足	ys[ou bu[eu zu[kv
詠而歸	ys[kd er[ek gv[ux
勇而無禮則亂	ys[sl er[ek wu[ee li[uv ze[bd lr[qv
雍雖不敏	ys[ws sv[ki bu[eu mb[rw
雍也	ys[ws ye[vu
雍也第六	ys[ws ye[vu di[vg lq[wb
勇者不必有仁	ys[sl ve[to bu[eu bi[xp yz[uo rf[re
勇者不懼	ys[sl ve[to bu[eu ju[xj
雍之言然	ys[ws vi[dv yj[we rj[xd
用之則行	ys[ou vi[dv ze[bd xk[rh
有鄙夫問於我	yz[uo bi[ke fu[er wf[mk yu[eu wo[pf
遊必有方	yz[df bi[xp yz[uo fh[dw
友便辟	yz[uy bm[rh pi[ul
有恥且格	yz[uo ii[ev qp[ke ge[aw
有德者必有言	yz[uo de[ru ve[to bi[xp yz[uo yj[we
又多能也	yz[vd do[xx ng[sb ye[vu
友多聞	yz[uy do[xx wf[me
有惡	yz[uo ee[hx
耰而不輟	yz[[ er[ek bu[eu io[iy
幼而不孫弟	yz[yl er[ek bu[eu sy[zx di[bg
有反坫	yz[uo fj[py dm[tb
有婦人焉	yz[uo fu[nx rf[pd yj[hh
有父兄在	yz[uo fu[bi xs[ke zd[ut
有棺而無槨	yz[uo gr[ag er[ek wu[ee go[aw
又何加焉	yz[vd he[rk jx[lk yj[hh
有荷蕢而過孔氏之門者	yz[uo he[cr kk[cv er[ek go[cz ks[zv ui[pq vi[dv mf[du ve[to
又何怨	yz[vd he[rk yr[xx
有教無類	yz[uo jn[tw wu[ee lw[md
又盡善也	yz[vd jb[ud uj[yk ye[vu
又敬不違	yz[vd jk[cw bu[eu ww[wz
有酒食	yz[uo jq[dy ui[rl
猶可逾也	yz[qy ke[dk yu[rz ye[vu
猶恐失之	yz[qy ks[gx ui[pe vi[dv
友諒	yz[uy ll[yw
有馬者	yz[uo ma[vv ve[to
有美玉於斯	yz[uo mw[bw yu[wd yu[eu si[qj
有民人焉	yz[uo mb[kv rf[pd yj[hh
猶能肆諸市朝	yz[qy ng[sb si[iy vu[yt ui[wj ic[uo
有能一日用其力於仁矣乎	yz[uo ng[sb yi[hh ri[wh ys[ou qi[cb li[vp yu[eu rf[re yi[su hu[pb
有朋自遠方來	yz[uo pg[oo zi[pm yr[ez fh[dw ld[hm
有便佞	yz[uo pm[rh nk[re
又其次也	yz[vd qi[cb ci[dd ye[vu
友其士之仁者	yz[uy qi[cb ui[uh vi[dv rf[re ve[to
有容色	yz[uo rs[xr se[db
有若對曰	yz[uo ro[cu dv[yc yt[wh
有若無	yz[uo ro[cu wu[ee
有殺身以成仁	yz[uo ua[ia uf[pu yi[sr ig[wv rf[re
友善柔	yz[uy uj[yk rz[ya
有社稷	yz[uo ue[ut ji[ht
有盛饌	yz[uo ug[wm vr[uk
有事	yz[uo ui[hk
有是言也	yz[uo ui[op yj[we ye[vu
有始有卒者	yz[uo ui[ns yz[uo zu[wr ve[to
有是哉	yz[uo ui[op zd[tk
又誰怨	yz[vd uv[yv yr[xx
有所不行	yz[uo so[pj bu[eu xk[rh
有澹臺滅明者	yz[uo tj[dd td[sk mp[hh mk[oo ve[to
猶天之不可階而升也	yz[qy tm[hd vi[dv bu[eu ke[dk jp[er er[ek ug[pc ye[vu
有慟乎	yz[uo ts[xe hu[pb
又聞君子之遠其子也	yz[vd wf[me jy[xk zi[lh vi[dv yr[ez qi[cb zi[lh ye[vu
猶賢乎已	yz[qy xm[ub hu[pb yi[kv
又相之	yz[vd xl[am vi[dv
有心哉	yz[uo xb[dv zd[tk
有顏回者好學	yz[uo yj[ly hv[wk ve[to hc[nz xt[xz
又焉貪	yz[vd yj[hh tj[rb
有言者不必有德	yz[uo yj[we ve[to bu[eu bi[xp yz[uo de[ru
由也	yz[ou ye[vu
由也果	yz[ou ye[vu go[oa
由也兼人	yz[ou ye[vu jm[bh rf[pd
由也升堂矣	yz[ou ye[vu ug[pc th[xt yi[su
由也為之	yz[ou ye[vu ww[dl vi[dv
由也問聞斯行諸	yz[ou ye[vu wf[mk wf[me si[qj xk[rh vu[yt
由也喭	yz[ou ye[vu yj[[
有一言而可以終身行之者乎	yz[uo yi[hh yj[we er[ek ke[dk yi[sr vs[sw uf[pu xk[rh vi[dv ve[to hu[pb
又欲其死	yz[vd yu[bd qi[cb si[hx
友于兄弟	yz[uy yu[eu xs[ke di[bg
遊於藝	yz[df yu[eu yi[cv
有政	yz[uo vg[hw
友直	yz[uy vi[uj
有之	yz[uo vi[dv
由之瑟	yz[ou vi[dv se[wx
由之行詐也	yz[ou vi[dv xk[rh va[yv ye[vu
猶之與人也	yz[qy vi[dv yu[hv rf[pd ye[vu
有諸	yz[uo vu[yt
有子曰	yz[uo zi[lh yt[wh
有罪不敢赦	yz[uo zv[sf bu[eu gj[vw ue[tw
欲罷不能	yu[bd ba[st bu[eu ng[sb
玉帛云乎哉	yu[wd bo[bj yy[es hu[pb zd[tk
予不得視猶子也	yu[sv bu[eu de[ro ui[uj yz[qy zi[lh ye[vu
於從政乎何有	yu[eu cs[rr vg[hw hu[pb he[rk yz[uo
欲而不貪	yu[bd er[ek bu[eu tj[rb
與父	yu[hv fu[bi
欲寡其過而未能也	yu[bd gx[gf qi[cb go[cz er[ek ww[ha ng[sb ye[vu
浴乎沂	yu[db hu[pb yi[dj
禹稷躬稼而有天	yu[pk ji[ht gs[ug jx[hg er[ek yz[uo tm[hd
欲潔其身	yu[bd jp[du qi[cb uf[pu
於今稱之	yu[eu jb[rd ig[hd vi[dv
與君子人也	yu[hv jy[xk zi[lh rf[pd ye[vu
魚餒而肉敗	yu[dt nw[ua er[ek rz[kr bd[bw
於女安乎	yu[eu nv[vp an[gn hu[pb
與朋友交	yu[hv pg[oo yz[uy jn[li
與朋友交而不信乎	yu[hv pg[oo yz[uy jn[li er[ek bu[eu xb[ry hu[pb
與其不孫也	yu[hv qi[cb bu[eu sy[zx ye[vu
與其潔也	yu[hv qi[cb jp[du ye[vu
與其進也	yu[hv qi[cb jb[ez ye[vu
與其媚於奧	yu[hv qi[cb mw[nm yu[eu ao[pd
與求之問	yu[hv qq[hu vi[dv wf[mk
欲仁而得仁	yu[bd rf[re er[ek de[ro rf[re
與人恭而有禮	yu[hv rf[pd gs[gx er[ek yz[uo li[uv
於人何所不容	yu[eu rf[pd he[rk so[pj bu[eu rs[xr
與人忠	yu[hv rf[pd vs[vx
與如也	yu[hv ru[nk ye[vu
與上大夫言	yu[hv uh[bh da[hr fu[er yj[we
與師言之道與	yu[hv ui[uh yj[we vi[dv dc[bz yu[hv
於斯二者何先	yu[eu si[qj er[hh ve[to he[rk xm[ne
於斯三者何先	yu[eu si[qj sj[hh ve[to he[rk xm[ne
於斯為盛	yu[eu si[qj ww[dl ug[wm
於斯文也	yu[eu si[qj wf[wi ye[vu
予死於道路乎	yu[sv si[hx yu[eu dc[bz lu[zw hu[pb
欲速成者也	yu[bd su[hz ig[wv ve[to ye[vu
欲速則不達	yu[bd su[hz ze[bd bu[eu da[dz
予所否者	yu[sv so[pj fz[bk ve[to
與文子同升諸公	yu[hv wf[wi zi[lh ts[kh ug[pc vu[yt gs[bs
於我	yu[eu wo[pf
於我殯	yu[eu wo[pf bb[hg
予無樂乎為君	yu[sv wu[ee le[px hu[pb ww[dl jy[xk
於吾言無所不說	yu[eu wu[wk yj[we wu[ee so[pj bu[eu uo[yb
與下大夫言	yu[hv xx[hb dd[hr fu[er yj[we
予小子履	yu[sv xn[ub zi[lh lv[ur
予也有三年之愛於其父母乎	yu[sv ye[vu yz[uo sj[hh nm[rn vi[dv ai[au yu[eu qi[cb fu[bi mu[vv hu[pb
與衣狐貉者立	yu[hv yi[wy hu[qp he[pw ve[to li[lh
與易也	yu[hv yi[ob ye[vu
予一以貫之	yu[sv yi[hh yi[sr gr[mb vi[dv
予有亂臣十人	yu[sv yz[uo lr[qv if[ku ui[hu rf[pd
鬱郁乎文哉	yu[ue yu[ue hu[pb wf[wi zd[tk
愉愉如也	yu[xr yu[xr ru[nk ye[vu
予欲無言	yu[sv yu[bd wu[ee yj[we
欲與之言	yu[bd yu[hv vi[dv yj[we
遇丈人	yu[oz vh[hi rf[pd
予之不仁也	yu[sv vi[dv bu[eu rf[re ye[vu
語之而不惰者	yu[yw vi[dv er[ek bu[eu do[xu ve[to
與之釜	yu[hv vi[dv fu[bw
與之粟九百	yu[hv vi[dv su[xm jq[pv bd[eo
與之庾	yu[hv vi[dv yu[gj
遇諸途	yu[oz vu[yt tu[rz
遠恥辱也	yr[ez ii[ev ru[ic ye[vu
怨乎	yr[xx hu[pb
遠佞人	yr[ez nk[re rf[pd
原壤夷俟	yr[ib rh[tw yi[hg si[rs
遠人不服	yr[ez rf[pd bu[eu fu[oe
原思為之宰	yr[ib si[tx ww[dl vi[dv zd[gl
願為小相焉	yr[ix ww[dl xn[ub xl[am yj[hh
願學焉	yr[ix xt[xz yj[hh
遠者來	yr[ez ve[to ld[hm
遠之事君	yr[ez vi[dv ui[hk jy[xk
遠之有	yr[ez vi[dv yz[uo
遠之則怨	yr[ez vi[dv ze[bd yr[xx
約而為泰	yt[sb er[ek ww[dl td[su
樂節禮樂	yt[px jp[ce li[uv yt[px
約我以禮	yt[sb wo[pf yi[sr li[uv
月無忘其所能	yt[ke wu[ee wh[wx qi[cb so[pj ng[sb
約之以禮	yt[sb vi[dv yi[sr li[uv
韞櫝而藏諸	yy[wo du[au er[ek ch[cw vu[yt
允執其中	yy[se vi[fj qi[cb vs[ku
再拜而送之	zd[hk bd[fh er[ek ss[bz vi[dv
在邦必達	zd[ut bh[fe bi[xp da[dz
在邦必聞	zd[ut bh[fe bi[xp wf[me
在邦無怨	zd[ut bh[fe wu[ee yr[xx
在陳絕糧	zd[ut if[eq jt[sd ll[ml
在家必達	zd[ut jx[gu bi[xp da[dz
在家必聞	zd[ut jx[gu bi[xp wf[me
在家無怨	zd[ut jx[gu wu[ee yr[xx
在陋巷	zd[ut lz[eh xl[gk
在人	zd[ut rf[pd
宰我出	zd[gl wo[pf iu[ck
宰我對曰	zd[gl wo[pf dv[yc yt[wh
宰我問	zd[gl wo[pf wf[mk
宰我問曰	zd[gl wo[pf wf[mk yt[wh
宰我子貢	zd[gl wo[pf zi[lh gs[gb
在輿	zd[ut yu[pb
在予一人	zd[ut yu[sv yi[hh rf[pd
臧文仲其竊位者與	zh[wk wf[wi vs[rv qi[cb qp[xq ww[rl ve[to yu[hv
臧武仲以防求為後於魯	zh[wk wu[hv vs[rv yi[sr fh[ef qq[hu ww[dl hz[pk yu[eu lu[yo
葬之以禮	zh[ch vi[dv yi[sr li[uv
造次必於是	zc[nz ci[dd bi[xp yu[eu ui[op
則哀矜而勿喜	ze[bd ai[wk jb[yr er[ek wu[bp xi[uk
則安之	ze[bd an[gn vi[dv
擇不處仁	ze[fy bu[eu iu[wb rf[re
則不復也	ze[bd bu[eu fu[ro ye[vu
則不歌	ze[bd bu[eu ge[kd
則不棄	ze[bd bu[eu qi[wc
則不威	ze[bd bu[eu ww[wh
則嘗聞之矣	ze[bd ih[xe wf[me vi[dv yi[su
則殆	ze[bd dd[hs
則寡悔	ze[bd gx[gf hv[xr
則寡尤	ze[bd gx[gf yz[yd
則何以哉	ze[bd he[rk yi[sr zd[tk
則見其倚于衡也	ze[bd jm[ke qi[cb yi[rd yu[eu hg[rd ye[vu
則將焉用彼相矣	ze[bd jl[dx yj[hh ys[ou bi[rp xl[am yi[su
則敬	ze[bd jk[cw
擇可勞而勞之	ze[fy ke[dk lc[cl er[ek lc[cl vi[dv
則可謂云爾已矣	ze[bd ke[dk ww[yt yy[es er[dx yi[kv yi[su
則可矣	ze[bd ke[dk yi[su
則禮樂不興	ze[bd li[uv yt[px bu[eu xk[xb
則禮樂征伐自天子出	ze[bd li[uv yt[px vg[rh fa[rg zi[pm tm[hd zi[lh iu[ck
則禮樂征伐自諸侯	ze[bd li[uv yt[px vg[rh fa[rg zi[pm vu[yt hz[rv
則民	ze[bd mb[kv
則民不敬	ze[bd mb[kv bu[eu jk[cw
則民不偷	ze[bd mb[kv bu[eu tz[rr
則民服	ze[bd mb[kv fu[oe
則民莫敢不敬	ze[bd mb[kv mo[co gj[vw bu[eu jk[cw
則民莫敢不用情	ze[bd mb[kv mo[co gj[vw bu[eu ys[ou qk[xf
則民無所錯手足	ze[bd mb[kv wu[ee so[pj co[jg uz[su zu[kv
則民興於仁	ze[bd mb[kv xk[xb yu[eu rf[re
則民易使也	ze[bd mb[kv yi[ob ui[rh ye[vu
擇其善者而從之	ze[fy qi[cb uj[yk ve[to er[ek cs[rr vi[dv
則勸	ze[bd qr[yl
則誰與	ze[bd uw[yv yu[hv
則事不成	ze[bd ui[hk bu[eu ig[wv
則庶人不議	ze[bd uu[gn rf[pd bu[eu yi[yd
則四方之民襁負其子而至矣	ze[bd si[we fh[dw vi[dv mb[kv ql[yg fu[db qi[cb zi[lh er[ek vi[ht yi[su
則罔	ze[bd wh[kb
則為之	ze[bd ww[dl vi[dv
則為之也難	ze[bd ww[dl vi[dv ye[vu nj[yv
則吾必在汶	ze[bd wu[wk bi[xp zd[ut wf[dw
則吾從先進	ze[bd wu[wk cs[rr xm[ne jb[ez
則吾豈敢	ze[bd wu[wk qi[uk gj[vw
則吾未之有得	ze[bd wu[wk ww[ha vi[dv yz[uo de[ro
則小子何述焉	ze[bd xn[ub zi[lh he[rk uu[az yj[hh
則刑罰不中	ze[bd xk[kd fa[sy bu[eu vs[ku
則修文德以來之	ze[bd xq[ru wf[wi de[ru yi[sr ld[hm vi[dv
則言不順	ze[bd yj[we bu[eu uy[iy
則以為厲己也	ze[bd yi[sr ww[dl li[iw ji[kv ye[vu
則以學文	ze[bd yi[sr xt[xz wf[wi
則隱	ze[bd yb[ed
則有司存	ze[bd yz[uo si[vh cy[uz
則遠怨矣	ze[bd yr[ez yr[xx yi[su
則政不在大夫	ze[bd vg[hw bu[eu zd[ut dd[hr fu[er
則忠	ze[bd vs[vx
賊夫人之子	zw[bg fu[er rf[pd vi[dv zi[lh
曾子言曰	zg[bo zi[lh yj[we yt[wh
曾子有疾	zg[bo zi[lh yz[uo ji[bu
曾子曰	zg[bo zi[lh yt[wh
齋戰疾	vd[we vj[bg ji[bu
戰戰兢兢	vj[bg vj[bg jk[gg jk[gg
瞻之在前	vj[md vi[dv zd[ut qm[bo
丈人曰	vh[hi rf[pd yt[wh
長幼之節	vh[ph yz[yl vi[dv jp[ce
杖者出	vh[ah ve[to iu[ck
昭公知禮乎	vc[od gs[bs vi[uk li[uv hu[pb
召忽死之	vc[dk hu[bx si[hx vi[dv
召門弟子曰	vc[dk mf[du di[bg zi[lh yt[wh
朝聞道	vc[uo wf[me dc[bz
袗絺綌	vf[[ ii[[ xi[[
朕躬有罪	vf[ob gs[ug yz[uo zv[sf
政逮於大夫四世矣	vg[hw dd[xz yu[eu dd[hr fu[er si[we ui[nv yi[su
正其衣冠	vg[hv qi[cb yi[wy gr[ge
鄭聲淫	vg[be ug[um yb[da
政事	vg[hw ui[hk
正唯弟子不能學也	vg[hv ww[kv di[bg zi[lh bu[eu ng[sb xt[xz ye[vu
正顏色	vg[hv yj[ly ud[db
正也	vg[hv ye[vu
政者	vg[hw ve[to
治賓客	vi[ds bb[gq ke[gw
直道而事人	vi[uj dc[bz er[ek ui[hk rf[pd
執德不弘	vi[fj de[ru bu[eu hs[gs
知德者鮮矣	vi[uk de[ru ve[to xm[yy yi[su
直而無禮則絞	vi[uj er[ek wu[ee li[uv ze[bd jn[sl
執圭	vi[fj gv[tt
知和	vi[uk he[hk
知及之	vi[uk ji[pv vi[dv
知禮	vi[uk li[uv
知柳下惠之賢	vi[uk lq[ap xx[hb hv[hx vi[dv xm[ub
之民歸心焉	vi[dv mb[kv gv[ux xb[dv yj[hh
知其說者之於天下也	vi[uk qi[cb uo[yb ve[to vi[dv yu[eu tm[hd xx[hb ye[vu
指其掌	vi[fb qi[cb vh[xf
植其杖而芸	vi[au qi[cb vh[ah er[ek yy[ce
知人	vi[uk rf[pd
之三子告	vi[dv sj[hh zi[lh gc[nk
執射乎	vi[fj ue[uc hu[pb
質勝文則野	vi[pu ug[op wf[wi ze[bd ye[oy
執事敬	vi[fj ui[hk jk[cw
志士仁人	vi[ux ui[uh rf[re rf[pd
之所以直道而行也	vi[dv so[pj yi[sr vi[uj dc[bz er[ek xk[rh ye[vu
知我者其天乎	vi[uk wo[pf ve[to qi[cb tm[hd hu[pb
知也	vi[uk ye[vu
質猶文也	vi[pu yz[qy wf[wi ye[vu
至於道	vi[ht yu[eu dc[bz
志於道	vi[ux yu[eu dc[bz
執御乎	vi[fj yu[rw hu[pb
至於魯	vi[ht yu[eu lu[yo
至於犬馬	vi[ht yu[eu qr[dd ma[vv
致遠恐泥	vi[hw yr[ez ks[gx ni[du
直在其中矣	vi[uj zd[ut qi[cb vs[ku yi[su
直哉史魚	vi[uj zd[tk ui[ki yu[dt
直則民不服	vi[uj ze[bd mb[kv bu[eu fu[oe
至則行矣	vi[ht ze[bd xk[rh yi[su
知者不惑	vi[uk ve[to bu[eu ho[gx
知者不失人	vi[uk ve[to bu[eu ui[pe rf[pd
知者動	vi[uk ve[to ds[el
知者樂	vi[uk ve[to le[px
知者樂水	vi[uk ve[to le[px uv[uu
知者利仁	vi[uk ve[to li[hd rf[re
之政	vi[dv vg[hw
知之次也	vi[uk vi[dv ci[dd ye[vu
質直而好義	vi[pu vi[uj er[ek hc[nz yi[di
知之為知之	vi[uk vi[dv ww[dl vi[uk vi[dv
知之者	vi[uk vi[dv ve[to
之直者異於是	vi[dv vi[uj ve[to yi[kc yu[eu ui[op
止子路宿	vi[uh zi[lh lu[zw su[gr
中道而廢	vs[ku dc[bz er[ek fw[gv
眾惡之	vs[rr ee[hx vi[dv
忠告而善道之	vs[vx gc[nk er[ek uj[yk dc[bz vi[dv
仲弓為季氏宰	vs[rv gs[kv ww[dl ji[hz ui[pq zd[gl
仲弓問仁	vs[rv gs[kv wf[mk rf[re
仲弓問子桑伯子	vs[rv gs[kv wf[mk zi[lh sh[ya bo[rb zi[lh
仲弓曰	vs[rv gs[kv yt[wh
鐘鼓云乎哉	vs[jv gu[uu yy[es hu[pb zd[tk
眾好之	vs[rr hc[nz vi[dv
仲尼	vs[rv ni[ub
仲尼不可毀也	vs[rv ni[ub bu[eu ke[dk hv[jj ye[vu
仲尼豈賢於子乎	vs[rv ni[ub qi[uk xm[ub yu[eu zi[lh hu[pb
仲尼焉學	vs[rv ni[ub yj[hh xt[xz
中人以上	vs[ku rf[pd yi[sr uh[bh
中人以下	vs[ku rf[pd yi[sr xx[hb
忠恕而已矣	vs[vx uu[nx er[ek yi[kv yi[su
仲叔圉	vs[rv uu[uy yu[wt
仲相桓公	vs[rv xl[am hr[ah gs[bs
忠焉	vs[vx yj[hh
終夜不寢	vs[sw ye[wr bu[eu qb[gd
中矣	vs[ku yi[su
中庸之為德也	vs[ku ys[gx vi[dv ww[dl de[ru ye[vu
仲由可使從政也與	vs[rv yz[ou ke[dk ui[rh cs[rr vg[hw ye[vu yu[hv
仲由冉求	vs[rv yz[ou rj[kt qq[hu
仲知禮乎	vs[rv vi[uk li[uv hu[pb
周公謂魯公曰	vz[kt gs[bs ww[yt lu[yo gs[bs yt[wh
周監於二代	vz[kt jm[um yu[eu er[hh dd[rq
周人以慄	vz[kt rf[pd yi[sr li[xa
周任有言曰	vz[kt rf[rq yz[uo yj[we yt[wh
周因於	vz[kt yb[wd yu[eu
周有八士	vz[kt yz[uo ba[pd ui[uh
周有大賚	vz[kt yz[uo da[hr ld[lb
紂之不善	vz[sc vi[dv bu[eu uj[yk
周之德	vz[kt vi[dv de[ru
諸片言可以折獄者	vu[yt pm[pu yj[we ke[dk yi[sr ve[fj yu[qy ve[to
祝鮀治宗廟	vu[uk to[[ vi[ds zs[ge mn[gy
主忠信	vu[dw vs[vx xb[ry
莊以蒞之	vl[gt yi[sr li[cr vi[dv
子不語怪力亂神	zi[lh bu[eu yu[yw gk[xy li[vp lr[qv uf[uo
自大夫出	zi[pm da[hr fu[er iu[ck
子釣而不綱	zi[lh dn[jb er[ek bu[eu gh[sk
子篤於親	zi[lh du[vm yu[eu qb[la
諮爾舜	zi[dk er[dx uy[ax
子服景伯以告	zi[lh fu[oe jk[ow bo[rb yi[sr gc[nk
子服景伯以告子貢	zi[lh fu[oe jk[ow bo[rb yi[sr gc[nk zi[lh gs[gb
子告之曰	zi[lh gc[nk vi[dv yt[wh
子貢	zi[lh gs[gb
子貢方人	zi[lh gs[gb fh[dw rf[pd
子貢問	zi[lh gs[gb wf[mk
子貢問君子	zi[lh gs[gb wf[mk jy[xk zi[lh
子貢問為仁	zi[lh gs[gb wf[mk ww[dl rf[re
子貢問友	zi[lh gs[gb wf[mk yz[uy
子貢問曰	zi[lh gs[gb wf[mk yt[wh
子貢問政	zi[lh gs[gb wf[mk vg[hw
子貢賢於仲尼	zi[lh gs[gb xm[ub yu[eu vs[rv ni[ub
子貢欲去告朔之餼羊	zi[lh gs[gb yu[bd qu[ts gc[nk uo[no vi[dv xi[uq yh[bs
子貢曰	zi[lh gs[gb yt[wh
自古皆有死	zi[pm gu[uk jp[bb yz[uo si[hx
子固窮	zi[lh gu[wg qs[xl
子罕第九	zi[lh hj[gg di[vg jq[pv
子罕言利與命與仁	zi[lh hj[gg yj[we li[hd yu[hv mk[rh yu[hv rf[re
子華使於齊	zi[lh hx[ru ui[rh yu[eu qi[wp
子疾病	zi[lh ji[bu bk[bh
子擊磬於衛	zi[lh ji[fk qk[ue yu[eu ww[eh
子見夫子乎	zi[lh jm[ke fu[er zi[lh hu[pb
子見南子	zi[lh jm[ke nj[uk zi[lh
子見齊衰者冕衣裳者與瞽者	zi[lh jm[ke qi[wp uk[wk ve[to mm[od yi[wy uh[xy ve[to yu[hv gu[um ve[to
子將奚先	zi[lh jl[dx xi[ay xm[ne
自經於溝瀆而莫之知也	zi[pm jk[ss yu[eu gz[db du[du er[ek mo[co vi[dv vi[uk ye[vu
子絕四	zi[lh jt[sd si[we
自孔氏	zi[pm ks[zv ui[pq
子哭之慟	zi[lh ku[kq vi[dv ts[xe
子樂	zi[lh le[px
子路	zi[lh lu[zw
子路不對	zi[lh lu[zw bu[eu dv[yc
子路不說	zi[lh lu[zw bu[eu uo[yb
子路曾皙冉有公西華侍坐	zi[lh lu[zw cg[bo xi[ab rj[kt yz[uo gs[bs xi[hk hx[ru ui[rt zo[rr
子路從而後	zi[lh lu[zw cs[rr er[ek hz[pk
子路第十三	zi[lh lu[zw di[vg ui[hu sj[hh
子路對曰	zi[lh lu[zw dv[yc yt[wh
子路拱而立	zi[lh lu[zw gs[fg er[ek li[lh
子路共之	zi[lh lu[zw gs[gb vi[dv
子路請禱	zi[lh lu[zw qk[yf dc[uf
子路使門人為臣	zi[lh lu[zw ui[rh mf[du rf[pd ww[dl if[ku
子路使子羔為費宰	zi[lh lu[zw ui[rh zi[lh gc[bd ww[dl fw[fb zd[gl
子路率爾而對曰	zi[lh lu[zw uk[wu er[dx er[ek dv[yc yt[wh
子路宿於石門	zi[lh lu[zw su[gr yu[eu ui[ek mf[du
子路問	zi[lh lu[zw wf[mk
子路問成人	zi[lh lu[zw wf[mk ig[wv rf[pd
子路問君子	zi[lh lu[zw wf[mk jy[xk zi[lh
子路問事君	zi[lh lu[zw wf[mk ui[hk jy[xk
子路問曰	zi[lh lu[zw wf[mk yt[wh
子路問政	zi[lh lu[zw wf[mk vg[hw
子路無宿諾	zi[lh lu[zw wu[ee su[gr no[yc
子路行以告	zi[lh lu[zw xk[rh yi[sr gc[nk
子路曰	zi[lh lu[zw yt[wh
子路慍見曰	zi[lh lu[zw yy[xo jm[ke yt[wh
子路終身誦之	zi[lh lu[zw vs[sw uf[pu ss[ys vi[dv
子禽問於子貢曰	zi[lh qb[rw wf[mk yu[eu zi[lh gs[gb yt[wh
子如不言	zi[lh ru[nk bu[eu yj[we
子入太廟	zi[lh ru[pd td[dd mn[gy
子生三年	zi[lh ug[pf sj[hh nm[rn
子適衛	zi[lh ui[qz ww[eh
子食於有喪者之側	zi[lh ui[rl yu[eu yz[uo sh[ty ve[to vi[dv ce[rb
子帥以正	zi[lh uk[uj yi[sr vg[hv
子所雅言	zi[lh so[pj ya[yv yj[we
子慟矣	zi[lh ts[xe yi[su
子退朝	zi[lh tv[gz ic[uo
子謂伯魚曰	zi[lh ww[yt bo[rb yu[dt yt[wh
子為父隱	zi[lh ww[dl fu[bi yb[ed
子為恭也	zi[lh ww[dl gs[gx ye[vu
子未可以去乎	zi[lh ww[ha ke[dk yi[sr qu[ts hu[pb
子謂冉有曰	zi[lh ww[yt rj[kt yz[uo yt[wh
子謂韶	zi[lh ww[yt uc[ld
子為誰	zi[lh ww[dl uv[yv
子謂衛公子荊	zi[lh ww[yt ww[eh gs[bs zi[lh jk[cd
子謂顏淵曰	zi[lh ww[yt yj[ly yr[dp yt[wh
子畏於匡	zi[lh ww[th yu[eu kl[kw
子為政	zi[lh ww[dl vg[hw
子謂仲弓曰	zi[lh ww[yt vs[rv gs[kv yt[wh
子謂子夏曰	zi[lh ww[yt zi[lh xx[ew yt[wh
子溫而厲	zi[lh wf[do er[ek li[iw
