阿巴卡韋	aa[ek ba[ku ka[ub ww[hh
多潘立酮片	do[xx pj[dp li[lh ts[yk pm[pu
多潘立酮栓	do[xx pj[dp li[lh ts[yk ur[ar
多胚性	do[xx pw[ob xk[xp
多匹可明	do[xx pi[ke ke[dk mk[oo
多器官功能衰竭	do[xx qi[kq gr[gu gs[gl ng[sb uk[wk jp[lo
多器官聯合移植	do[xx qi[kq gr[gu lm[eb he[rh yi[hx vi[au
多器官整塊移植	do[xx qi[kq gr[gu vg[hh kk[tv yi[hx vi[au
多羥糖醇乙酸酯	do[xx ql[ys th[mg iy[yw yi[vv sr[ys vi[yb
多羥直鏈糖醇	do[xx ql[ys vi[uj lm[ji th[mg iy[yw
多親和理論	do[xx qb[la he[hk li[wo ly[yr
多親抗體	do[xx qb[la kh[fw ti[ra
多親抗原	do[xx qb[la kh[fw yr[ib
多柔吡星	do[xx rz[ya bi[kb xk[op
多柔比星	do[xx rz[ya bi[bb xk[op
多柔比星注射液	do[xx rz[ya bi[bb xk[op vu[dd ue[uc ye[dw
多乳房	do[xx ru[av fh[hf
多乳糖胺聚糖	do[xx ru[av th[mg an[og ju[ep th[mg
多賽平	do[xx sd[gb pk[hb
多塞平	do[xx sd[gt pk[hb
多賽平片	do[xx sd[gb pk[hb pm[pu
多塞平片	do[xx sd[gt pk[hb pm[pu
多塞平乳膏	do[xx sd[gt pk[hb ru[av gc[wk
多塞平注射液	do[xx sd[gt pk[hb vu[dd ue[uc ye[dw
多沙普侖	do[xx ua[dx pu[bo ly[rb
多沙普侖注射液	do[xx ua[dx pu[bo ly[rb vu[dd ue[uc ye[dw
多沙唑嗪	do[xx ua[dx zo[kr qb[ks
多沙唑嗪片	do[xx ua[dx zo[kr qb[ks pm[pu
多食性	do[xx ui[rl xk[xp
多室脂質體	do[xx ui[gh vi[ob vi[pu ti[ra
多司馬酯	do[xx si[vh ma[vv vi[yb
多司馬酯片	do[xx si[vh ma[vv vi[yb pm[pu
多索茶鹼	do[xx so[uy ia[cr jm[ew
多索茶鹼膠囊	do[xx so[uy ia[cr jm[ew jn[ol nh[hk
多索茶鹼顆粒	do[xx so[uy ia[cr jm[ew ke[oy li[ml
多索茶鹼口服液	do[xx so[uy ia[cr jm[ew kz[uv fu[oe ye[dw
多索茶鹼氯化鈉	do[xx so[uy ia[cr jm[ew lv[qx hx[rq na[jk
多索茶鹼氯化鈉注射液	do[xx so[uy ia[cr jm[ew lv[qx hx[rq na[jk vu[dd ue[uc ye[dw
多索茶鹼片	do[xx so[uy ia[cr jm[ew pm[pu
多索茶鹼葡萄糖	do[xx so[uy ia[cr jm[ew pu[cb tc[cb th[mg
多索茶鹼葡萄糖注射液	do[xx so[uy ia[cr jm[ew pu[cb tc[cb th[mg vu[dd ue[uc ye[dw
多索茶鹼注射液	do[xx so[uy ia[cr jm[ew vu[dd ue[uc ye[dw
多它靈	do[xx ta[gb lk[xh
多肽	do[xx td[od
多胎產	do[xx td[os ij[lp
多糖	do[xx th[mg
多糖蛋白	do[xx th[mg dj[pi bd[po
多糖蛋白片	do[xx th[mg dj[pi bd[po pm[pu
多糖基	do[xx th[mg ji[qt
多糖基神經酰胺	do[xx th[mg ji[qt uf[uo jk[ss xm[yn an[og
多糖類	do[xx th[mg lw[md
多糖酶	do[xx th[mg mw[yr
多糖鐵	do[xx th[mg tp[jp
多糖鐵複合物	do[xx th[mg tp[jp fu[ro he[rh wu[nb
多糖鐵複合物膠囊	do[xx th[mg tp[jp fu[ro he[rh wu[nb jn[ol nh[hk
多糖鐵膠囊	do[xx th[mg tp[jp jn[ol nh[hk
多體性	do[xx ti[ra xk[xp
多萜醇	do[xx tp[cj iy[yw
多唾液酸基聚糖	do[xx to[ki ye[dw sr[ys ji[qt ju[ep th[mg
多唾液酸基糖蛋白	do[xx to[ki ye[dw sr[ys ji[qt th[mg dj[pi bd[po
多維寶寶樂	do[xx ww[sv bc[gw bc[gw le[px
多維鈣	do[xx ww[sv gd[jx
多維健身素	do[xx ww[sv jm[ry uf[pu su[fy
多維金	do[xx ww[sv jb[rw
多維康	do[xx ww[sv kh[gx
多維康爾樂	do[xx ww[sv kh[gx er[dx le[px
多維賴氨酸	do[xx ww[sv ld[hd an[qg sr[ys
多維片	do[xx ww[sv pm[pu
多維乳酶生	do[xx ww[sv ru[av mw[yr ug[pf
多維乳酸菌散	do[xx ww[sv ru[av sr[ys jy[cw sj[gw
多維生素	do[xx ww[sv ug[pf su[fy
多維生素滴劑	do[xx ww[sv ug[pf su[fy di[dl ji[wd
多維生素膠囊	do[xx ww[sv ug[pf su[fy jn[ol nh[hk
多維生素片	do[xx ww[sv ug[pf su[fy pm[pu
多維鐵	do[xx ww[sv tp[jp
多維鐵口服液	do[xx ww[sv tp[jp kz[uv fu[oe ye[dw
多維元素	do[xx ww[sv yr[ee su[fy
多維元素膠囊	do[xx ww[sv yr[ee su[fy jn[ol nh[hk
多維元素片	do[xx ww[sv yr[ee su[fy pm[pu
多西環素	do[xx xi[hk hr[wb su[fy
多西環素鈣	do[xx xi[hk hr[wb su[fy gd[jx
多西環素膠囊	do[xx xi[hk hr[wb su[fy jn[ol nh[hk
多西環素片	do[xx xi[hk hr[wb su[fy pm[pu
多西拉敏	do[xx xi[hk la[fl mb[rw
多烯磷脂酰膽鹼	do[xx xi[hi lb[em vi[ob xm[yn dj[oo jm[ew
多烯磷脂酰膽鹼膠囊	do[xx xi[hi lb[em vi[ob xm[yn dj[oo jm[ew jn[ol nh[hk
多烯磷脂酰膽鹼注射劑	do[xx xi[hi lb[em vi[ob xm[yn dj[oo jm[ew vu[dd ue[uc ji[wd
多烯磷脂酰膽鹼注射液	do[xx xi[hi lb[em vi[ob xm[yn dj[oo jm[ew vu[dd ue[uc ye[dw
多烯色素	do[xx xi[hi se[db su[fy
多烯酸	do[xx xi[hi sr[ys
多烯酸乙酯	do[xx xi[hi sr[ys yi[vv vi[yb
多烯酸乙酯膠丸	do[xx xi[hi sr[ys yi[vv vi[yb jn[ol wj[jd
多西他賽	do[xx xi[hk ta[ry sd[gb
多西他賽注射液	do[xx xi[hk ta[ry sd[gb vu[dd ue[uc ye[dw
多烯脂肪酸	do[xx xi[hi vi[ob fh[of sr[ys
多西紫杉醇	do[xx xi[hk zi[vy uj[ap iy[yw
多烯紫杉醇	do[xx xi[hi zi[vy uj[ap iy[yw
多涎	do[xx xm[dp
多相分散體系	do[xx xl[am ff[bd sj[gw ti[ra xi[py
多相區帶電泳	do[xx xl[am qu[ki dd[cj dm[ov ys[dd
多小面二十面體	do[xx xn[ub mm[ew er[hh ui[hu mm[ew ti[ra
多效性	do[xx xn[lw xk[xp
多效蒸餾水器	do[xx xn[lw vg[cl lq[up uv[uu qi[kq
多形核白細胞	do[xx xk[kp he[aw bd[po xi[st bc[ob
多形核細胞	do[xx xk[kp he[aw xi[st bc[ob
惰性氣體	do[xu xk[xp qi[rh ti[ra
多形性	do[xx xk[kp xk[xp
多形性日光疹	do[xx xk[kp xk[xp ri[wh gl[xe vf[br
多形性腺瘤	do[xx xk[kp xk[xp xm[ob lq[bp
多巖藻糖乳糖胺糖脂	do[xx yj[ue zc[cd th[mg ru[av th[mg an[og th[mg vi[ob
多樣性指數	do[xx yh[ay xk[xp vi[fb uu[mw
多異戊烯磷酸基糖	do[xx yi[kc wu[iv xi[hi lb[em sr[ys ji[qt th[mg
多因子說	do[xx yb[wd zi[lh uo[yb
多用夾板	do[xx ys[ou jx[hb bj[ap
多趾	do[xx vi[zv
多指畸形	do[xx vi[fb ji[td xk[kp
多種鈣維	do[xx vs[hv gd[jx ww[sv
多種鈣維片	do[xx vs[hv gd[jx ww[sv pm[pu
多種密碼子識別	do[xx vs[hv mi[gu ma[em zi[lh ui[yk bp[kd
多種微量元素	do[xx vs[hv ww[ru ll[oh yr[ee su[fy
多種微量元素注射液	do[xx vs[hv ww[ru ll[oh yr[ee su[fy vu[dd ue[uc ye[dw
多種維生素	do[xx vs[hv ww[sv ug[pf su[fy
多種維生素片	do[xx vs[hv ww[sv ug[pf su[fy pm[pu
多足綱	do[xx zu[kv gh[sk
多足綱節肢動物	do[xx zu[kv gh[sk jp[ce vi[ou ds[el wu[nb
厄貝沙坦	ee[ie bw[kr ua[dx tj[to
厄貝沙坦膠囊	ee[ie bw[kr ua[dx tj[to jn[ol nh[hk
厄貝沙坦片	ee[ie bw[kr ua[dx tj[to pm[pu
厄貝沙坦氫氯噻嗪	ee[ie bw[kr ua[dx tj[to qk[qs lv[qx sd[kg qb[ks
厄貝沙坦氫氯噻嗪膠囊	ee[ie bw[kr ua[dx tj[to qk[qs lv[qx sd[kg qb[ks jn[ol nh[hk
厄貝沙坦氫氯噻嗪片	ee[ie bw[kr ua[dx tj[to qk[qs lv[qx sd[kg qb[ks pm[pu
額鼻突	ee[gy bi[zt tu[xq
噁丙嗪	ee[[ bk[hk qb[ks
噁丙嗪片	ee[[ bk[hk qb[ks pm[pu
惡病體質	ee[hx bk[bh ti[ra vi[pu
顎不全裂	ee[ok bu[eu qr[rw lp[hy
鵝不食草	ee[pn bu[eu ui[rl cc[co
鵝不食草連黴素滴鼻液	ee[pn bu[eu ui[rl cc[co lm[iz mw[yr su[fy di[dl bi[zt ye[dw
惡臭假單胞氧還蛋白	ee[hx iz[zq jx[rk dj[bo bc[ob yh[qy hr[bz dj[pi bd[po
厄多司坦	ee[ie do[xx si[vh tj[to
厄多司坦膠囊	ee[ie do[xx si[vh tj[to jn[ol nh[hk
厄多司坦片	ee[ie do[xx si[vh tj[to pm[pu
厄爾布麻痺	ee[ie er[dx bu[uj ma[ga bi[bt
額縫	ee[gy fg[sw
顎杆	ee[ok gj[ag
鵝膏肽素	ee[pn gc[wk td[od su[fy
鵝膏蕈氨酸	ee[pn gc[wk xy[cx an[qg sr[ys
鵝膏蕈鹼	ee[pn gc[wk xy[cx jm[ew
鵝根	ee[pn gf[ag
鵝管石	ee[pn gr[vg ui[ek
額橫皺紋	ee[gy hg[ag vz[dp wf[sw
鵝肌肽	ee[pn ji[oj td[od
阿膠補血	ee[ek jn[ol bu[yb xt[pm
阿膠補血膏	ee[ek jn[ol bu[yb xt[pm gc[wk
阿膠補血顆粒	ee[ek jn[ol bu[yb xt[pm ke[oy li[ml
阿膠補血口服液	ee[ek jn[ol bu[yb xt[pm kz[uv fu[oe ye[dw
阿膠當歸	ee[ek jn[ol dh[xx gv[ux
阿膠當歸顆粒	ee[ek jn[ol dh[xx gv[ux ke[oy li[ml
阿膠當歸口服液	ee[ek jn[ol dh[xx gv[ux kz[uv fu[oe ye[dw
阿膠鈣	ee[ek jn[ol gd[jx
阿膠黃芪口服液	ee[ek jn[ol hl[gy qi[cu kz[uv fu[oe ye[dw
阿膠雞子黃湯	ee[ek jn[ol ji[yn zi[lh hl[gy th[dv
阿膠膠囊	ee[ek jn[ol jn[ol nh[hk
阿膠精	ee[ek jn[ol jk[mf
阿膠顆粒	ee[ek jn[ol ke[oy li[ml
阿膠口服液	ee[ek jn[ol kz[uv fu[oe ye[dw
阿膠牡蠣	ee[ek jn[ol mu[nt li[ii
阿膠牡蠣口服液	ee[ek jn[ol mu[nt li[ii kz[uv fu[oe ye[dw
阿膠泡騰顆粒	ee[ek jn[ol pc[db tg[ob ke[oy li[ml
阿膠片	ee[ek jn[ol pm[pu
阿膠強骨	ee[ek jn[ol ql[gk gu[ko
阿膠強骨口服液	ee[ek jn[ol ql[gk gu[ko kz[uv fu[oe ye[dw
阿膠三寶	ee[ek jn[ol sj[hh bc[gw
阿膠三寶膏	ee[ek jn[ol sj[hh bc[gw gc[wk
阿膠參芪酒	ee[ek jn[ol uf[sd qi[cu jq[dy
阿膠生化	ee[ek jn[ol ug[pf hx[rq
阿膠生化膏	ee[ek jn[ol ug[pf hx[rq gc[wk
阿膠維他晶	ee[ek jn[ol ww[sv ta[ry jk[oo
阿膠養血	ee[ek jn[ol yh[yp xt[pm
阿膠養血膏	ee[ek jn[ol yh[yp xt[pm gc[wk
阿膠養血顆粒	ee[ek jn[ol yh[yp xt[pm ke[oy li[ml
阿膠液體	ee[ek jn[ol ye[dw ti[ra
阿膠益壽	ee[ek jn[ol yi[bm uz[fc
阿膠益壽晶	ee[ek jn[ol yi[bm uz[fc jk[oo
阿膠益壽口服液	ee[ek jn[ol yi[bm uz[fc kz[uv fu[oe ye[dw
阿膠遠志	ee[ek jn[ol yr[ez vi[ux
阿膠遠志膏	ee[ek jn[ol yr[ez vi[ux gc[wk
阿膠珍珠	ee[ek jn[ol vf[wr vu[wp
阿膠珍珠膏	ee[ek jn[ol vf[wr vu[wp gc[wk
鵝頸畸形	ee[pn jk[sy ji[td xk[kp
萼卷豆鹼	ee[ck jr[be dz[hk jm[ew
鱷梨糖醇	ee[yk li[ha th[mg iy[yw
顎裂系列治療	ee[ok lp[hy xi[py lp[hd vi[ds ln[bl
顎裂語音	ee[ok lp[hy yu[yw yb[lo
蛾苓	ee[ip lk[cr
蛾苓丸	ee[ip lk[cr wj[jd
顎隆凸	ee[ok ls[ew tu[uh
厄洛替尼片	ee[ie lo[dw ti[eo ni[ub pm[pu
鵝毛管眼藥	ee[pn mc[sv gr[vg yj[mg yc[cs
顎面	ee[ok mm[ew
顎黏膜下裂	ee[ok nm[hb mo[oc xx[hb lp[hy
餓求齊	ee[up qq[hu qi[wp
餓求齊膠囊	ee[up qq[hu qi[wp jn[ol nh[hk
鵝去氧膽酸	ee[pn qu[ts yh[qy dj[oo sr[ys
鵝去氧膽酸膠囊	ee[pn qu[ts yh[qy dj[oo sr[ys jn[ol nh[hk
鵝去氧膽酸片	ee[pn qu[ts yh[qy dj[oo sr[ys pm[pu
莪書油	ee[cp uu[vv yz[dy
莪樹油	ee[cp uu[ay yz[dy
鋨酸	ee[jp sr[ys
厄他培南	ee[ie ta[ry pw[tl nj[uk
顎體	ee[ky ti[ra
萼筒	ee[ck ts[vk
額外腎	ee[gy wd[xb uf[uo
顎完全裂	ee[ok wj[ge qr[rw lp[hy
惡性變	ee[hx xk[xp bm[yy
惡性成釉細胞瘤	ee[hx xk[xp ig[wv yz[py xi[st bc[ob lq[bp
惡性多形性腺瘤	ee[hx xk[xp do[xx xk[kp xk[xp xm[ob lq[bp
惡性高熱	ee[hx xk[xp gc[wk re[fd
惡性黑	ee[hx xk[xp hw[sd
惡性潰瘍	ee[hx xk[xp kv[dv yh[bv
惡性藍痣	ee[hx xk[xp lj[cu vi[bu
惡性淋巴瘤	ee[hx xk[xp lb[da ba[ku lq[bp
惡性瘤	ee[hx xk[xp lq[bp
惡性梅毒	ee[hx xk[xp mw[ar du[fm
惡性雀斑樣痣	ee[hx xk[xp qt[xv bj[ww yh[ay vi[bu
惡性雀斑樣痣黑	ee[hx xk[xp qt[xv bj[ww yh[ay vi[bu hw[sd
惡性纖維組織細胞瘤	ee[hx xk[xp xm[sq ww[sv zu[sq vi[sk xi[st bc[ob lq[bp
惡性血管內皮細胞瘤	ee[hx xk[xp xt[pm gr[vg nw[kr pi[vp xi[st bc[ob lq[bp
惡性造釉細胞瘤	ee[hx xk[xp zc[nz yz[py xi[st bc[ob lq[bp
鵝血	ee[pn xt[pm
惡液質素即腫瘤壞死因子	ee[hx ye[dw vi[pu su[fy ji[ge vs[ov lq[bp hk[tb si[hx yb[wd zi[lh
鵝掌瘋浸劑	ee[pn vh[xf fg[bf jb[dx ji[wd
鵝掌風浸藥	ee[pn vh[xf fg[ji jb[dx yc[cs
鵝掌瘋藥粉	ee[pn vh[xf fg[bf yc[cs ff[mf
蛾貞膠丸	ee[ip vf[bb jn[ol wj[jd
額指數	ee[gy vi[fb uu[mw
惡質體素	ee[hx vi[pu ti[ra su[fy
顎皺	ee[ok vz[dp
莪術油	ee[cp vu[ad yz[dy
莪術油葡萄糖	ee[cp vu[ad yz[dy pu[cb tc[cb th[mg
莪術油葡萄糖注射液	ee[cp vu[ad yz[dy pu[cb tc[cb th[mg vu[dd ue[uc ye[dw
莪術油注射液	ee[cp vu[ad yz[dy vu[dd ue[uc ye[dw
額縱皺紋	ee[gy zs[sr vz[dp wf[sw
顎足	ee[ky zu[kv
噁唑侖	ee[[ zo[kr ly[rb
惡唑黴素	ee[hx zo[kr mw[yr su[fy
惡唑酮	ee[hx zo[kr ts[yk
恩必爾	en[wx bi[xp er[dx
恩必普	en[wx bi[xp pu[bo
恩波酸丙米嗪	en[wx bo[dp sr[ys bk[hk mi[ba qb[ks
恩布拉敏	en[wx bu[uj la[fl mb[rw
恩丹西酮	en[wx dj[kw xi[hk ts[yk
恩丹西酮膠囊	en[wx dj[kw xi[hk ts[yk jn[ol nh[hk
恩丹西酮片	en[wx dj[kw xi[hk ts[yk pm[pu
恩丹西酮注射液	en[wx dj[kw xi[hk ts[yk vu[dd ue[uc ye[dw
恩地氯氨	en[wx di[ty lv[qx an[qg
恩地氯氨碘	en[wx di[ty lv[qx an[qg dm[ed
恩多黴素	en[wx do[xx mw[yr su[fy
恩復德	en[wx fu[ro de[ru
恩氟烷	en[wx fu[qf wj[hg
恩格菲	en[wx ge[aw fw[cf
恩卡尼	en[wx ka[ub ni[ub
恩拉黴素	en[wx la[fl mw[yr su[fy
恩理思	en[wx li[wo si[tx
恩諾平	en[wx no[yc pk[hb
恩普氨酯	en[wx pu[bo an[qg vi[yb
恩曲他濱	en[wx qu[ou ta[ry bb[dg
恩曲他濱膠囊	en[wx qu[ou ta[ry bb[dg jn[ol nh[hk
恩曲他濱片	en[wx qu[ou ta[ry bb[dg pm[pu
蒽殺炭疽菌素	en[cw ua[ia tj[uu ju[bq jy[cw su[fy
恩他卡朋	en[wx ta[ry ka[ub pg[oo
恩替卡韋	en[wx ti[eo ka[ub ww[hh
恩替卡韋片	en[wx ti[eo ka[ub ww[hh pm[pu
恩通	en[wx ts[sz
恩西拉嗪	en[wx xi[hk la[fl qb[ks
恩再適	en[wx zd[hk ui[qz
恩再適注射液	en[wx zd[hk ui[qz vu[dd ue[uc ye[dw
恩澤欣	en[wx ze[dy xb[jd
爾安	er[dx an[gn
二氨二苯碸	er[hh an[qg er[hh bf[ca fg[ef
二氨基吖啶	er[hh an[qg ji[qt aa[kb dk[kg
二氨基單羧酸	er[hh an[qg ji[qt dj[bo so[ys sr[ys
二氨基順丁烯二腈	er[hh an[qg ji[qt uy[iy dk[hu xi[hi er[hh jk[of
二氨藜蘆啶	er[hh an[qg li[ch lu[ch dk[kg
二胺氧化酶	er[hh an[og yh[qy hx[rq mw[yr
二白藥膏	er[hh bd[po yc[cs gc[wk
兒寶	er[pv bc[gw
兒寶膏	er[pv bc[gw gc[wk
兒寶顆粒	er[pv bc[gw ke[oy li[ml
二倍化	er[hh bw[rl hx[rq
二倍體	er[hh bw[rl ti[ra
二倍性	er[hh bw[rl xk[xp
二苯胺	er[hh bf[ca an[og
二苯惡唑	er[hh bf[ca ee[hx zo[kr
二苯環丁烷二羧酸	er[hh bf[ca hr[wb dk[hu wj[hg er[hh so[ys sr[ys
二苯甲氧甲哌啶	er[hh bf[ca jx[ou yh[qy jx[ou pd[kp dk[kg
二苯茚酮	er[hh bf[ca yb[cp ts[yk
二苯唑啉	er[hh bf[ca zo[kr lb[ka
耳鼻喉科用藥	er[hu bi[zt hz[kr ke[hd ys[ou yc[cs
二丙基	er[hh bk[hk ji[qt
二丙酸倍他米松及倍他米	er[hh bk[hk sr[ys bw[rl ta[ry mi[ba ss[ab ji[pv bw[rl ta[ry mi[ba
兒茶	er[pv ia[cr
兒茶酚	er[pv ia[cr ff[yf
兒茶酚胺	er[pv ia[cr ff[yf an[og
兒茶酚酶	er[pv ia[cr ff[yf mw[yr
兒茶酚氧化酶	er[pv ia[cr ff[yf yh[qy hx[rq mw[yr
兒茶鉤藤鹼	er[pv ia[cr gz[jb tg[co jm[ew
兒茶酸	er[pv ia[cr sr[ys
二陳	er[hh if[eq
二陳口服液	er[hh if[eq kz[uv fu[oe ye[dw
二陳濃縮丸	er[hh if[eq ns[dg so[sg wj[jd
二陳湯	er[hh if[eq th[dv
二陳丸	er[hh if[eq wj[jd
二齒獸	er[hh ii[vr uz[bh
耳垂缺損	er[hu iv[ph qt[pv sy[fk
二醇雙乙胺醚	er[hh iy[yw ul[yy yi[vv an[og mi[ym
二醇脫水酶	er[hh iy[yw to[ob uv[uu mw[yr
二次突變假說	er[hh ci[dd tu[xq bm[yy jx[rk uo[yb
二次消費者	er[hh ci[dd xn[dx fw[fb ve[to
耳聰口服液	er[hu cs[eb kz[uv fu[oe ye[dw
耳聰丸	er[hu cs[eb wj[jd
二醋嗎啡	er[hh cu[yg ma[km fw[kf
二氮嗪	er[hh dj[qh qb[ks
二氮嗪注射液	er[hh dj[qh qb[ks vu[dd ue[uc ye[dw
耳點	er[hu dm[bd
二碘苯甲腈	er[hh dm[ed bf[ca jx[ou jk[of
二碘甲腺原氨酸	er[hh dm[ed jx[ou xm[ob yr[ib an[qg sr[ys
二丁	er[hh dk[hu
二丁胺基羥丙基醋酸纖維素醚	er[hh dk[hu an[og ji[qt ql[ys bk[hk ji[qt cu[yg sr[ys xm[sq ww[sv su[fy mi[ym
二丁膠囊	er[hh dk[hu jn[ol nh[hk
二丁顆粒	er[hh dk[hu ke[oy li[ml
二丁酰環磷腺苷鈣	er[hh dk[hu xm[yn hr[wb lb[em xm[ob gj[cg gd[jx
二丁酰環磷腺苷鈣注射液	er[hh dk[hu xm[yn hr[wb lb[em xm[ob gj[cg gd[jx vu[dd ue[uc ye[dw
二冬	er[hh ds[wd
二冬膏	er[hh ds[wd gc[wk
二冬青	er[hh ds[wd qk[fo
二度生長	er[hh du[gn ug[pf vh[ph
二對甲氧三苯甲基氯	er[hh dv[yc jx[ou yh[qy sj[hh bf[ca jx[ou ji[qt lv[qx
二酚	er[hh ff[yf
二酚類	er[hh ff[yf lw[md
二分裂	er[hh ff[bd lp[hy
二腹肌	er[hh fu[or ji[oj
兒膚康	er[pv fu[oe kh[gx
兒膚康搽劑	er[pv fu[oe kh[gx ia[fc ji[wd
二氟拉松	er[hh fu[qf la[fl ss[ab
爾復邁	er[dx fu[ro md[wz
二氟尼柳	er[hh fu[qf ni[ub lq[ap
二氟尼柳膠囊	er[hh fu[qf ni[ub lq[ap jn[ol nh[hk
二氟尼柳片	er[hh fu[qf ni[ub lq[ap pm[pu
兒感清	er[pv gj[wx qk[df
兒感清口服液	er[pv gj[wx qk[df kz[uv fu[oe ye[dw
兒感退熱寧	er[pv gj[wx tv[gz re[fd nk[gd
兒感退熱寧顆粒	er[pv gj[wx tv[gz re[fd nk[gd ke[oy li[ml
兒感退熱寧口服液	er[pv gj[wx tv[gz re[fd nk[gd kz[uv fu[oe ye[dw
爾岡	er[dx gh[ki
二根分叉部	er[hh gf[ag ff[bd ia[yd bu[le
二核苷酸	er[hh he[aw gj[cg sr[ys
耳後淤血斑	er[hu hz[pk yu[df xt[pm bj[ww
二化性	er[hh hx[rq xk[xp
二環已基脲	er[hh hr[wb yi[kv ji[qt nn[ou
二環已基碳二亞胺	er[hh hr[wb yi[kv ji[qt tj[eu er[hh ya[hy an[og
二級結構	er[hh ji[sj jp[su gz[ab
二甲胺酚	er[hh jx[ou an[og ff[yf
二甲氨基	er[hh jx[ou an[qg ji[qt
二甲氨偶氮苯	er[hh jx[ou an[qg ou[ro dj[qh bf[ca
二甲苯	er[hh jx[ou bf[ca
二甲川膽色素	er[hh jx[ou ir[pu dj[oo se[db su[fy
二甲川中膽色素	er[hh jx[ou ir[pu vs[ku dj[oo se[db su[fy
二甲弗林	er[hh jx[ou fu[gp lb[aa
二甲弗林片	er[hh jx[ou fu[gp lb[aa pm[pu
二甲弗林注射液	er[hh jx[ou fu[gp lb[aa vu[dd ue[uc ye[dw
二甲胍基乙磺酸	er[hh jx[ou gx[op ji[qt yi[vv hl[eg sr[ys
二甲硅油	er[hh jx[ou gv[et yz[dy
二甲硅油片	er[hh jx[ou gv[et yz[dy pm[pu
二甲硅油氣霧劑	er[hh jx[ou gv[et yz[dy qi[rh wu[yw ji[wd
二甲硅油散	er[hh jx[ou gv[et yz[dy sj[gw
二甲花翠苷	er[hh jx[ou hx[cr cv[xw gj[cg
二甲花翠素	er[hh jx[ou hx[cr cv[xw su[fy
二甲磺酸阿米三嗪	er[hh jx[ou hl[eg sr[ys aa[ek mi[ba sj[hh qb[ks
二甲基	er[hh jx[ou ji[qt
二甲基安非他明	er[hh jx[ou ji[qt an[gn fw[su ta[ry mk[oo
二甲基氨基	er[hh jx[ou ji[qt an[qg ji[qt
二甲基苯並咪唑核苷磷酸	er[hh jx[ou ji[qt bf[ca bk[bk mi[km zo[kr he[aw gj[cg lb[em sr[ys
二甲基丙基	er[hh jx[ou ji[qt bk[hk ji[qt
二甲基硅油	er[hh jx[ou ji[qt gv[et yz[dy
二甲基磺酸阿米三嗪	er[hh jx[ou ji[qt hl[eg sr[ys aa[ek mi[ba sj[hh qb[ks
二甲基母育酚	er[hh jx[ou ji[qt mu[vv yu[wo ff[yf
二甲基色胺	er[hh jx[ou ji[qt se[db an[og
二甲基芴	er[hh jx[ou ji[qt wu[cb
二甲基烯丙基焦磷酸	er[hh jx[ou ji[qt xi[hi bk[hk ji[qt jn[vd lb[em sr[ys
二甲基烯丙基轉移酶	er[hh jx[ou ji[qt xi[hi bk[hk ji[qt vr[ie yi[hx mw[yr
二甲基亞碸	er[hh jx[ou ji[qt ya[hy fg[ef
二甲基乙酰胺	er[hh jx[ou ji[qt yi[vv xm[yn an[og
二甲鋶氨酸	er[hh jx[ou lq[jw an[qg sr[ys
二甲醚	er[hh jx[ou mi[ym
二甲噻丁	er[hh jx[ou sd[kg dk[hu
二甲胂酸鈉	er[hh jx[ou uf[oo sr[ys na[jk
二甲雙胍	er[hh jx[ou ul[yy gx[op
二甲雙胍腸溶膠囊	er[hh jx[ou ul[yy gx[op ih[ov rs[dx jn[ol nh[hk
二甲雙胍腸溶片	er[hh jx[ou ul[yy gx[op ih[ov rs[dx pm[pu
二甲雙胍格列本脲	er[hh jx[ou ul[yy gx[op ge[aw lp[hd bf[ah nn[ou
二甲雙胍格列本脲膠囊	er[hh jx[ou ul[yy gx[op ge[aw lp[hd bf[ah nn[ou jn[ol nh[hk
二甲雙胍格列本脲片	er[hh jx[ou ul[yy gx[op ge[aw lp[hd bf[ah nn[ou pm[pu
二甲雙胍格列齊啡	er[hh jx[ou ul[yy gx[op ge[aw lp[hd qi[wp fw[kf
二甲雙胍格列齊啡片	er[hh jx[ou ul[yy gx[op ge[aw lp[hd qi[wp fw[kf pm[pu
二甲雙胍格列齊特	er[hh jx[ou ul[yy gx[op ge[aw lp[hd qi[wp te[nt
二甲雙胍格列齊特片	er[hh jx[ou ul[yy gx[op ge[aw lp[hd qi[wp te[nt pm[pu
二甲雙胍片	er[hh jx[ou ul[yy gx[op pm[pu
二價體	er[hh jx[rr ti[ra
二甲替嗪	er[hh jx[ou ti[eo qb[ks
二甲亞碸	er[hh jx[ou ya[hy fg[ef
二甲氧苯酚葡糖苷	er[hh jx[ou yh[qy bf[ca ff[yf pu[cb th[mg gj[cg
二甲氧苯甲醛	er[hh jx[ou yh[qy bf[ca jx[ou qr[yc
二甲氧苯甲酸	er[hh jx[ou yh[qy bf[ca jx[ou sr[ys
二甲氧黃酮	er[hh jx[ou yh[qy hl[gy ts[yk
二甲氧基	er[hh jx[ou yh[qy ji[qt
二甲氧基安非他明	er[hh jx[ou yh[qy ji[qt an[gn fw[su ta[ry mk[oo
二甲氧基甲苯異丙胺	er[hh jx[ou yh[qy ji[qt jx[ou bf[ca yi[kc bk[hk an[og
二甲氧基馬錢子鹼	er[hh jx[ou yh[qy ji[qt ma[vv qm[jj zi[lh jm[ew
二甲氧基乙基安非他明	er[hh jx[ou yh[qy ji[qt yi[vv ji[qt an[gn fw[su ta[ry mk[oo
