阿比可糖	aa[ek bi[bb ke[dk th[mg
骨下袋植骨術	gu[ko xx[hb dd[ry vi[au gu[ko uu[ad
骨纖維	gu[ko xm[sq ww[sv
骨纖維變性	gu[ko xm[sq ww[sv bm[yy xk[xp
骨纖維變性症	gu[ko xm[sq ww[sv bm[yy xk[xp vg[bh
骨纖維性結構不良	gu[ko xm[sq ww[sv xk[xp jp[su gz[ab bu[eu ll[dg
固相	gu[wg xl[am
固相測序	gu[wg xl[am ce[db xu[gy
固相測序儀	gu[wg xl[am ce[db xu[gy yi[rd
固相合成	gu[wg xl[am he[rh ig[wv
固相酶	gu[wg xl[am mw[yr
固相序列分析	gu[wg xl[am xu[gy lp[hd ff[bd xi[aj
固相雜交	gu[wg xl[am za[ja jn[li
骨小體	gu[ko xn[ub ti[ra
古心理學	gu[uk xb[dv li[wo xt[xz
骨性分類	gu[ko xk[xp ff[bd lw[md
骨性聯結	gu[ko xk[xp lm[eb jp[su
骨性顳下頜關節強直	gu[ko xk[xp np[ey xx[hb he[ry gr[bt jp[ce ql[gk vi[uj
骨形態發生蛋白	gu[ko xk[kp td[dx fa[vy ug[pf dj[pi bd[po
骨形態生成蛋白	gu[ko xk[kp td[dx ug[pf ig[wv dj[pi bd[po
骨性牙質	gu[ko xk[xp ya[hv vi[pu
孤雄發育	gu[zp xs[uv fa[vy yu[wo
孤雄生殖	gu[zp xs[uv ug[pf vi[hu
骨牙粘連	gu[ko ya[hv vj[mb lm[iz
骨炎	gu[ko yj[hh
骨衍生生長因子	gu[ko yj[rd ug[pf ug[pf vh[ph yb[wd zi[lh
古羊齒屬	gu[uk yh[bs ii[vr uu[up
骨樣骨瘤	gu[ko yh[ay gu[ko lq[bp
骨樣牙本質	gu[ko yh[ay ya[hv bf[ah vi[pu
谷癢症	gu[bk yh[by vg[bh
古液鹼	gu[uk ye[dw jm[ew
古遺傳學	gu[uk yi[vz ir[re xt[xz
骨異位	gu[ko yi[kc ww[rl
骨移植	gu[ko yi[hx vi[au
骨移植物	gu[ko yi[hx vi[au wu[nb
骨隱窩	gu[ko yb[ed wo[xk
骨硬蛋白	gu[ko yk[eh dj[pi bd[po
骨硬化	gu[ko yk[eh hx[rq
骨硬化病	gu[ko yk[eh hx[rq bk[bh
骨硬化症	gu[ko yk[eh hx[rq vg[bh
骨營養	gu[ko yk[ck yh[yp
骨營養不良	gu[ko yk[ck yh[yp bu[eu ll[dg
骨營養不良性關節病	gu[ko yk[ck yh[yp bu[eu ll[dg xk[xp gr[bt jp[ce bk[bh
固有層	gu[wg yz[uo cg[ue
固有的穩定性	gu[wg yz[uo de[bb wf[hd dk[gp xk[xp
固有分泌	gu[wg yz[uo ff[bd mi[dx
固有感受	gu[wg yz[uo gj[wx uz[ay
固有感受器	gu[wg yz[uo gj[wx uz[ay qi[kq
固有膜	gu[wg yz[uo mo[oc
固有性狀	gu[wg yz[uo xk[xp vl[dq
固有牙槽骨	gu[wg yz[uo ya[hv cc[ah gu[ko
固有終止子	gu[wg yz[uo vs[sw vi[uh zi[lh
古魚類學	gu[uk yu[dt lw[md xt[xz
骨原纖維	gu[ko yr[ib xm[sq ww[sv
骨圓針	gu[ko yr[wk vf[ju
谷月面	gu[bk yt[ke mm[ew
谷甾醇	gu[bk zd[vt iy[yw
谷甾醇葡糖苷	gu[bk zd[vt iy[yw pu[cb th[mg gj[cg
骨再生	gu[ko zd[hk ug[pf
谷甾烷	gu[bk zd[vt wj[hg
骨再折術	gu[ko zd[hk ve[fj uu[ad
鼓藻	gu[uu zc[cd
骨粘蛋白	gu[ko vj[mb dj[pi bd[po
骨粘連蛋白	gu[ko vj[mb lm[iz dj[pi bd[po
固著底棲生物	gu[wg ve[ym di[gu qi[ax ug[pf wu[nb
固著器	gu[wg ve[ym qi[kq
骨針	gu[ko vf[ju
骨針細胞	gu[ko vf[ju xi[st bc[ob
骨針狀細胞	gu[ko vf[ju vl[dq xi[st bc[ob
固質	gu[wg vi[pu
箍趾病	gu[vf vi[zv bk[bh
骨質齒	gu[ko vi[pu ii[vr
古直翅目	gu[uk vi[uj ii[ux mu[we
骨質減少	gu[ko vi[pu jm[dw uc[xp
股肢節	gu[oj vi[ou jp[ce
骨質溶解	gu[ko vi[pu rs[dx jp[dd
骨質生成	gu[ko vi[pu ug[pf ig[wv
骨質疏鬆症	gu[ko vi[pu uu[pw ss[ab vg[bh
古植物學	gu[uk vi[au wu[nb xt[xz
骨質象牙化	gu[ko vi[pu xl[dk ya[hv hx[rq
骨質形成	gu[ko vi[pu xk[kp ig[wv
骨質再生	gu[ko vi[pu zd[hk ug[pf
骨質緻密化	gu[ko vi[pu vi[hw mi[gu hx[rq
骨狀石細胞	gu[ko vl[dq ui[ek xi[st bc[ob
骨贅	gu[ko vv[fb
骨贅病	gu[ko vv[fb bk[bh
固著絲	gu[wg vo[ym si[sh
骨組織	gu[ko zu[sq vi[sk
瓜氨酸	gx[ps an[qg sr[ys
瓜氨酸血	gx[ps an[qg sr[ys xt[pm
刮匙	gx[qd ii[ob
刮除術	gx[qd iu[er uu[ad
瓜爾涅裡包涵體	gx[ps er[dx np[do li[ot bc[bk hj[dl ti[ra
寡根綜合	gx[gf gf[ag zs[sg he[rh
寡根綜合型	gx[gf gf[ag zs[sg he[rh xk[kt
寡核苷酸	gx[gf he[aw gj[cg sr[ys
寡核苷酸酶	gx[gf he[aw gj[cg sr[ys mw[yr
寡核苷酸探針	gx[gf he[aw gj[cg sr[ys tj[fg vf[ju
寡核糖核苷酸	gx[gf he[aw th[mg he[aw gj[cg sr[ys
胍基	gx[op ji[qt
胍基丁胺	gx[op ji[qt dk[hu an[og
胍基二氫吡咯甲酸	gx[op ji[qt er[hh qk[qs bi[kb lo[kw jx[ou sr[ys
胍基牛磺酸	gx[op ji[qt nq[pf hl[eg sr[ys
胍基乙酸	gx[op ji[qt yi[vv sr[ys
寡基因	gx[gf ji[qt yb[wd
寡聚	gx[gf ju[ep
寡聚蛋白質	gx[gf ju[ep dj[pi bd[po vi[pu
寡聚核苷酸連結分析	gx[gf ju[ep he[aw gj[cg sr[ys lm[iz jp[su ff[bd xi[aj
寡聚體	gx[gf ju[ep ti[ra
寡聚體酶	gx[gf ju[ep ti[ra mw[yr
寡毛綱	gx[gf mc[sv gh[sk
胍酶	gx[op mw[yr
寡黴素	gx[gf mw[yr su[fy
瓜尼瑞包涵體	gx[ps ni[ub rv[wu bc[bk hj[dl ti[ra
寡肽	gx[gf td[od
寡糖	gx[gf th[mg
寡糖基神經酰胺	gx[gf th[mg ji[qt uf[uo jk[ss xm[yn an[og
寡糖基轉移酶	gx[gf th[mg ji[qt vr[ie yi[hx mw[yr
寡糖精	gx[gf th[mg jk[mf
寡糖酶	gx[gf th[mg mw[yr
寡脫氧核糖核苷酸	gx[gf to[ob yh[qy he[aw th[mg he[aw gj[cg sr[ys
寡脫氧胸苷酸	gx[gf to[ob yh[qy xs[ob gj[cg sr[ys
寡脫氧胸苷酸纖維素	gx[gf to[ob yh[qy xs[ob gj[cg sr[ys xm[sq ww[sv su[fy
寡鹽性種	gx[gf yj[tm xk[xp vs[hv
胍乙基磷酸絲氨酸	gx[op yi[vv ji[qt lb[em sr[ys si[sh an[qg sr[ys
胍乙酸轉甲基酶	gx[op yi[vv sr[ys vr[ie jx[ou ji[qt mw[yr
寡營養	gx[gf yk[ck yh[yp
刮治	gx[qd vi[ds
寡足配體	gx[gf zu[kv pw[yk ti[ra
冠板	gr[ge bj[ap
管胞	gr[vg bc[ob
管杯式離心機	gr[vg bw[ab ui[qg li[wk xb[dv ji[aj
管壁效應	gr[vg bi[ut xn[lw yk[gx
冠層	gr[ge cg[ue
灌腸法	gr[dc ih[ov fa[dt
灌腸劑	gr[dc ih[ov ji[wd
貫穿縫合	gr[mb ir[xy fg[sw he[rh
貫穿褥式縫合	gr[mb ir[xy ru[yi ui[qg fg[sw he[rh
管道串聯式攪拌器	gr[vg dc[bz ir[kk lm[eb ui[qg jn[fx bj[fb qi[kq
冠狗牙花定鹼	gr[ge gz[qb ya[hv hx[cr dk[gp jm[ew
鸛骨	gr[cn gu[ko
管家基因	gr[vg jx[gu ji[qt yb[wd
關鍵反應	gr[bt jm[jy fj[py yk[gx
關鍵酶	gr[bt jm[jy mw[yr
管間紋孔式	gr[vg jm[mo wf[sw ks[zv ui[qg
關節病	gr[bt jp[ce bk[bh
關節病性銀屑病	gr[bt jp[ce bk[bh xk[xp yb[jg xp[ux bk[bh
關節層	gr[bt jp[ce cg[ue
關節成形術	gr[bt jp[ce ig[wv xk[kp uu[ad
關節鈣化	gr[bt jp[ce gd[jx hx[rq
關節固定術	gr[bt jp[ce gu[wg dk[gp uu[ad
關節活動度	gr[bt jp[ce ho[dq ds[el du[gn
關節活動度測量	gr[bt jp[ce ho[dq ds[el du[gn ce[db ll[oh
關節甲殼類	gr[bt jp[ce jx[ou qn[ug lw[md
關節僵硬	gr[bt jp[ce jl[rh yk[eh
關節結節	gr[bt jp[ce jp[su jp[ce
關節攣縮	gr[bt jp[ce lr[yf so[sg
關節面骨折	gr[bt jp[ce mm[ew gu[ko ve[fj
關節囊縫合術	gr[bt jp[ce nh[hk fg[sw he[rh uu[ad
關節囊切除術	gr[bt jp[ce nh[hk qp[qd iu[er uu[ad
關節囊切開術	gr[bt jp[ce nh[hk qp[qd kd[hc uu[ad
關節內陷	gr[bt jp[ce nw[kr xm[ed
關節盤	gr[bt jp[ce pj[vm
關節強硬	gr[bt jp[ce ql[gk yk[eh
關節強直	gr[bt jp[ce ql[gk vi[uj
關節區	gr[bt jp[ce qu[ki
關節融合術	gr[bt jp[ce rs[hi he[rh uu[ad
關節軟骨鈣沉著症	gr[bt jp[ce rr[id gu[ko gd[jx if[dg vo[ym vg[bh
關節鰓	gr[bt jp[ce sd[yt
關節燒傷	gr[bt jp[ce uc[hq uh[rr
關節鬆弛	gr[bt jp[ce ss[ab ii[gy
關節突	gr[bt jp[ce tu[xq
關節窩	gr[bt jp[ce wo[xk
關節液	gr[bt jp[ce ye[dw
關節盂	gr[bt jp[ce yu[em
關節造影	gr[bt jp[ce zc[nz yk[op
關節脂肪組織炎	gr[bt jp[ce vi[ob fh[of zu[sq vi[sk yj[hh
關節周圍炎	gr[bt jp[ce vz[kt ww[ww yj[hh
管莖	gr[vg jk[cs
管孔的舊稱	gr[vg ks[zv de[bb jq[uo ig[hd
管擴張	gr[vg ko[fg vh[gi
鸛類	gr[cn lw[md
關聯氨基酸	gr[bt lm[eb an[qg ji[qt sr[ys
關連氨基酸	gr[bt lm[iz an[qg ji[qt sr[ys
灌流培養系統	gr[dc lq[dw pw[tl yh[yp xi[py ts[sw
關瘻	gr[bt lz[bm
灌木狀生長	gr[dc mu[ub vl[dq ug[pf vh[ph
冠內固位	gr[ge nw[kr gu[wg ww[rl
冠內固位體	gr[ge nw[kr gu[wg ww[rl ti[ra
冠內空隙	gr[ge nw[kr ks[xg xi[ex
官能團	gr[gu ng[sb tr[wc
罐批發酵	gr[wc pi[fb fa[vy jn[yt
關卡基因	gr[bt qx[ub ji[qt yb[wd
冠橋學	gr[ge qn[ap xt[xz
管式發酵器	gr[vg ui[qg fa[vy jn[yt qi[kq
管水母	gr[vg uv[uu mu[vv
管水母目	gr[vg uv[uu mu[vv mu[we
貫通傷	gr[mb ts[sz uh[rr
冠外固位	gr[ge wd[xb gu[wg ww[rl
灌洗	gr[dc xi[dn
管細胞	gr[vg xi[st bc[ob
冠向復位瓣	gr[ge xl[pk fu[ro ww[rl bj[lp
冠心病監護治療病房	gr[ge xb[dv bk[bh jm[um hu[fh vi[ds ln[bl bk[bh fh[hf
冠形病毒	gr[ge xk[kp bk[bh du[fm
冠形病毒組	gr[ge xk[kp bk[bh du[fm zu[sq
管形產卵器	gr[vg xk[kp ij[lp lr[pe qi[kq
管形成	gr[vg xk[kp ig[wv
管形口器	gr[vg xk[kp kz[uv qi[kq
管形流式反應器	gr[vg xk[kp lq[dw ui[qg fj[py yk[gx qi[kq
管形瓶	gr[vg xk[kp pk[bw
管形石膏	gr[vg xk[kp ui[ek gc[wk
管形突	gr[vg xk[kp tu[xq
管形網狀中柱	gr[vg xk[kp wh[ki vl[dq vs[ku vu[ad
管形牙	gr[vg xk[kp ya[hv
冠鏽病	gr[ge xq[jh bk[bh
冠簷	gr[ge yj[ad
冠癭	gr[ge yk[bb
冠癭氨基酸	gr[ge yk[bb an[qg ji[qt sr[ys
冠癭瘤	gr[ge yk[bb lq[bp
管藻黃素	gr[vg zc[cd hl[gy su[fy
管藻黃質	gr[vg zc[cd hl[gy vi[pu
管藻素	gr[vg zc[cd su[fy
冠周炎	gr[ge vz[kt yj[hh
灌注不足	gr[dc vu[dd bu[eu zu[kv
灌注充分	gr[dc vu[dd is[we ff[bd
灌注肺	gr[dc vu[dd fw[oh
灌注後綜合徵	gr[dc vu[dd hz[pk zs[sg he[rh vg[rh
灌注損傷	gr[dc vu[dd sy[fk uh[rr
灌注壓	gr[dc vu[dd ya[it
灌注液	gr[dc vu[dd ye[dw
冠狀病毒	gr[ge vl[dq bk[bh du[fm
冠狀點	gr[ge vl[dq dm[bd
冠狀動脈	gr[ge vl[dq ds[el md[od
冠狀動脈側枝血流	gr[ge vl[dq ds[el md[od ce[rb vi[au xt[pm lq[dw
冠狀動脈盜血綜合徵	gr[ge vl[dq ds[el md[od dc[dm xt[pm zs[sg he[rh vg[rh
冠狀動脈灌注	gr[ge vl[dq ds[el md[od gr[dc vu[dd
管狀動脈瘤	gr[vg vl[dq ds[el md[od lq[bp
冠狀動脈流入血流	gr[ge vl[dq ds[el md[od lq[dw ru[pd xt[pm lq[dw
冠狀動脈旁路移植術	gr[ge vl[dq ds[el md[od ph[lf lu[zw yi[hx vi[au uu[ad
冠狀動脈血栓形成	gr[ge vl[dq ds[el md[od xt[pm ur[ar xk[kp ig[wv
冠狀動脈血吸引裝置	gr[ge vl[dq ds[el md[od xt[pm xi[kj yb[gu vl[dy vi[su
冠狀竇瓣	gr[ge vl[dq dz[xu bj[lp
冠狀竇逆行灌注	gr[ge vl[dq dz[xu ni[nz xk[rh gr[dc vu[dd
管狀發鞘	gr[vg vl[dq fa[vy qn[gx
冠狀縫與額骨顳線相交的點	gr[ge vl[dq fg[sw yu[hv ee[gy gu[ko np[ey xm[sj xl[am jn[li de[bb dm[bd
管狀個員	gr[vg vl[dq ge[ru yr[kb
冠狀骨	gr[ge vl[dq gu[ko
冠狀靜脈	gr[ge vl[dq jk[fd md[od
管狀孔	gr[vg vl[dq ks[zv
冠狀切口	gr[ge vl[dq qp[qd kz[uv
冠狀突	gr[ge vl[dq tu[xq
冠狀突起	gr[ge vl[dq tu[xq qi[zk
管狀腺瘤	gr[vg vl[dq xm[ob lq[bp
冠狀血管	gr[ge vl[dq xt[pm gr[vg
冠狀循環	gr[ge vl[dq xy[rp hr[wb
管狀中柱	gr[vg vl[dq vs[ku vu[ad
管足	gr[vg zu[kv
胱胺	gl[ox an[og
胱氨酸	gl[ox an[qg sr[ys
胱氨酸二亞碸	gl[ox an[qg sr[ys er[hh ya[hy fg[ef
胱氨酸過多症	gl[ox an[qg sr[ys go[cz do[xx vg[bh
胱氨酸結石	gl[ox an[qg sr[ys jp[su ui[ek
胱氨酸尿	gl[ox an[qg sr[ys nn[uu
胱氨酸尿症	gl[ox an[qg sr[ys nn[uu vg[bh
胱氨酸貯積症	gl[ox an[qg sr[ys vu[bg ji[hk vg[bh
胱氨酰基	gl[ox an[qg xm[yn ji[qt
光斑貼試驗	gl[xe bj[ww tp[bb ui[yq yj[mr
光變應性藥疹	gl[xe bm[yy yk[gx xk[xp yc[cs vf[br
廣佈種	gl[di bu[uj vs[hv
廣翅目	gl[di ii[ux mu[we
光刺激反應性	gl[xe ci[cd ji[db fj[py yk[gx xk[xp
光催化標記	gl[xe cv[ru hx[rq bn[ae ji[yk
胱蛋白酶抑制劑	gl[ox dj[pi bd[po mw[yr yi[fp vi[nd ji[wd
光電測量計	gl[xe dm[ov ce[db ll[oh ji[yu
光電測微光度計	gl[xe dm[ov ce[db ww[ru gl[xe du[gn ji[yu
光動力學	gl[xe ds[el li[vp xt[xz
光動力學療法	gl[xe ds[el li[vp xt[xz ln[bl fa[dt
光動力學作用	gl[xe ds[el li[vp xt[xz zo[rv ys[ou
光度測定法	gl[xe du[gn ce[db dk[gp fa[dt
光毒性反應	gl[xe du[fm xk[xp fj[py yk[gx
光毒性焦油皮炎	gl[xe du[fm xk[xp jn[vd yz[dy pi[vp yj[hh
光毒性藥疹	gl[xe du[fm xk[xp yc[cs vf[br
光斷續器	gl[xe dr[mj xu[su qi[kq
光萼豬屎豆鹼	gl[xe ee[ck vu[qt ui[um dz[hk jm[ew
廣泛性獲得性黑變病	gl[di fj[dp xk[xp ho[cq de[ro xk[xp hw[sd bm[yy bk[bh
光反應	gl[xe fj[py yk[gx
光復活	gl[xe fu[ro ho[dq
光感受器	gl[xe gj[wx uz[ay qi[kq
光固化複合樹脂	gl[xe gu[wg hx[rq fu[ro he[rh uu[ay vi[ob
光固化樹脂	gl[xe gu[wg hx[rq uu[ay vi[ob
光固化裝置	gl[xe gu[wg hx[rq vl[dy vi[su
光過敏反應	gl[xe go[cz mb[rw fj[py yk[gx
光合產率	gl[xe he[rh ij[lp lv[wu
光合產物	gl[xe he[rh ij[lp wu[nb
光合單位	gl[xe he[rh dj[bo ww[rl
光合光量計	gl[xe he[rh gl[xe ll[oh ji[yu
光合磷酸化	gl[xe he[rh lb[em sr[ys hx[rq
光合磷酸化作用	gl[xe he[rh lb[em sr[ys hx[rq zo[rv ys[ou
光合膜	gl[xe he[rh mo[oc
光合色素	gl[xe he[rh se[db su[fy
光合商	gl[xe he[rh uh[lk
光合速率	gl[xe he[rh su[hz lv[wu
光合細菌	gl[xe he[rh xi[st jy[cw
光合效率	gl[xe he[rh xn[lw lv[wu
光合異養生物	gl[xe he[rh yi[kc yh[yp ug[pf wu[nb
光合自養生物	gl[xe he[rh zi[pm yh[yp ug[pf wu[nb
光合作用產物	gl[xe he[rh zo[rv ys[ou ij[lp wu[nb
光合作用系統	gl[xe he[rh zo[rv ys[ou xi[py ts[sw
光合作用中二氧化碳的固定	gl[xe he[rh zo[rv ys[ou vs[ku er[hh yh[qy hx[rq tj[eu de[bb gu[wg dk[gp
光呼吸	gl[xe hu[kp xi[kj
光呼吸作用	gl[xe hu[kp xi[kj zo[rv ys[ou
光滑噬菌體	gl[xe hx[dg ui[kv jy[cw ti[ra
光滑髓針	gl[xe hx[dg sv[gu vf[ju
光滑微粒體	gl[xe hx[dg ww[ru li[ml ti[ra
光化線強度計	gl[xe hx[rq xm[sj ql[gk du[gn ji[yu
光滑型	gl[xe hx[dg xk[kt
光化性扁平苔蘚	gl[xe hx[rq xk[xp bm[hk pk[hb td[cs xm[cy
光化性脣炎	gl[xe hx[rq xk[xp iy[ik yj[hh
光化性角化病	gl[xe hx[rq xk[xp jn[do hx[rq bk[bh
光滑型菌落	gl[xe hx[dg xk[kt jy[cw lo[cd
光滑型內質網	gl[xe hx[dg xk[kt nw[kr vi[pu wh[ki
光化性肉芽腫	gl[xe hx[rq xk[xp rz[kr ya[cy vs[ov
光化性彈性組織變性	gl[xe hx[rq xk[xp tj[gb xk[xp zu[sq vi[sk bm[yy xk[xp
光化學	gl[xe hx[rq xt[xz
光化學反應	gl[xe hx[rq xt[xz fj[py yk[gx
光化學療法	gl[xe hx[rq xt[xz ln[bl fa[dt
光幻視	gl[xe hr[yv ui[uj
光還原	gl[xe hr[bz yr[ib
光黃素	gl[xe hl[gy su[fy
光活化	gl[xe ho[dq hx[rq
光激性	gl[xe ji[db xk[xp
光基因	gl[xe ji[qt yb[wd
光激運動	gl[xe ji[db yy[ez ds[el
光降解作用	gl[xe jl[ew jp[dd zo[rv ys[ou
光交聯樹脂	gl[xe jn[li lm[eb uu[ay vi[ob
光解	gl[xe jp[dd
光解反應	gl[xe jp[dd fj[py yk[gx
光解酶	gl[xe jp[dd mw[yr
光解質	gl[xe jp[dd vi[pu
光解作用	gl[xe jp[dd zo[rv ys[ou
光聚合	gl[xe ju[ep he[rh
光覺	gl[xe jt[xj
光覺計	gl[xe jt[xj ji[yu
光亮帶	gl[xe ll[wj dd[cj
光量子血液療法	gl[xe ll[oh zi[lh xt[pm ye[dw ln[bl fa[dt
光療法	gl[xe ln[bl fa[dt
光裂合酶	gl[xe lp[hy he[rh mw[yr
胱硫醚	gl[ox lq[ew mi[ym
胱硫醚酶	gl[ox lq[ew mi[ym mw[yr
光密度	gl[xe mi[gu du[gn
光密度測定法	gl[xe mi[gu du[gn ce[db dk[gp fa[dt
光密度計	gl[xe mi[gu du[gn ji[yu
光密度掃描	gl[xe mi[gu du[gn sc[fx mn[fc
光面內質網	gl[xe mm[ew nw[kr vi[pu wh[ki
光面型內質網	gl[xe mm[ew xk[kt nw[kr vi[pu wh[ki
光敏感性	gl[xe mb[rw gj[wx xk[xp
光敏色素	gl[xe mb[rw se[db su[fy
光敏突變體	gl[xe mb[rw tu[xq bm[yy ti[ra
光敏突變型	gl[xe mb[rw tu[xq bm[yy xk[kt
光敏性	gl[xe mb[rw xk[xp
光敏性皮炎	gl[xe mb[rw xk[xp pi[vp yj[hh
光敏作用	gl[xe mb[rw zo[rv ys[ou
光能利用菌	gl[xe ng[sb li[hd ys[ou jy[cw
光能有機營養菌	gl[xe ng[sb yz[uo ji[aj yk[ck yh[yp jy[cw
光能轉化體	gl[xe ng[sb vr[ie hx[rq ti[ra
光能自養菌	gl[xe ng[sb zi[pm yh[yp jy[cw
光能自養生物	gl[xe ng[sb zi[pm yh[yp ug[pf wu[nb
光偶聯劑	gl[xe ou[ro lm[eb ji[wd
光譜測定法	gl[xe pu[yb ce[db dk[gp fa[dt
光譜帶	gl[xe pu[yb dd[cj
廣譜抗生素	gl[di pu[yb kh[fw ug[pf su[fy
光譜學	gl[xe pu[yb xt[xz
光期鈍感植物	gl[xe qi[qo dy[jt gj[wx vi[au wu[nb
光千金藤定鹼	gl[xe qm[pu jb[rw tg[co dk[gp jm[ew
光千金藤鹼	gl[xe qm[pu jb[rw tg[co jm[ew
光千屈菜鹼	gl[xe qm[pu qu[ui cd[ca jm[ew
光親和標記	gl[xe qb[la he[hk bn[ae ji[yk
光色敏性	gl[xe se[db mb[rw xk[xp
光色素	gl[xe se[db su[fy
光神黴素	gl[xe uf[uo mw[yr su[fy
光視蛋白	gl[xe ui[uj dj[pi bd[po
光適應	gl[xe ui[qz yk[gx
光視紫質	gl[xe ui[uj zi[vy vi[pu
光受體	gl[xe uz[ay ti[ra
廣宿主範圍	gl[di su[gr vu[dw fj[cd ww[ww
廣酸性生物	gl[di sr[ys xk[xp ug[pf wu[nb
光通量單位	gl[xe ts[sz ll[oh dj[bo ww[rl
廣溫生物	gl[di wf[do ug[pf wu[nb
廣溫性生物	gl[di wf[do xk[xp ug[pf wu[nb
胱硒醚	gl[ox xi[ex mi[ym
光纖喉鏡	gl[xe xm[sq hz[kr jk[jl
光顯微鏡	gl[xe xm[oy ww[ru jk[jl
光線性扁平苔蘚	gl[xe xm[sj xk[xp bm[hk pk[hb td[cs xm[cy
光線性脣炎	gl[xe xm[sj xk[xp iy[ik yj[hh
光線性角化病	gl[xe xm[sj xk[xp jn[do hx[rq bk[bh
光線性肉芽腫	gl[xe xm[sj xk[xp rz[kr ya[cy vs[ov
光線性彈性組織變性	gl[xe xm[sj xk[xp tj[gb xk[xp zu[sq vi[sk bm[yy xk[xp
光信號發生器	gl[xe xb[ry hc[kk fa[vy ug[pf qi[kq
光形態發生作用	gl[xe xk[kp td[dx fa[vy ug[pf zo[rv ys[ou
光修復	gl[xe xq[ru fu[ro
光學測定	gl[xe xt[xz ce[db dk[gp
光學純度	gl[xe xt[xz iy[st du[gn
光學二向色性	gl[xe xt[xz er[hh xl[pk se[db xk[xp
光學活性	gl[xe xt[xz ho[dq xk[xp
光學掃描器	gl[xe xt[xz sc[fx mn[fc qi[kq
光學顯微鏡	gl[xe xt[xz xm[oy ww[ru jk[jl
廣鹽性	gl[di yj[tm xk[xp
光氧化	gl[xe yh[qy hx[rq
光氧化作用	gl[xe yh[qy hx[rq zo[rv ys[ou
光養生物	gl[xe yh[yp ug[pf wu[nb
光葉花椒鹼	gl[xe ye[ku hx[cr jn[au jm[ew
光異構作用	gl[xe yi[kc gz[ab zo[rv ys[ou
光異養生物	gl[xe yi[kc yh[yp ug[pf wu[nb
光抑制	gl[xe yi[fp vi[nd
光營養	gl[xe yk[ck yh[yp
光誘導	gl[xe yz[yh dc[kc
廣域緩衝液	gl[di yu[tg hr[sa is[dv ye[dw
光原	gl[xe yr[ib
光原性病	gl[xe yr[ib xk[xp bk[bh
光甾醇	gl[xe zd[vt iy[yw
光澤苔蘚	gl[xe ze[dy td[cs xm[cy
光照階段	gl[xe vc[od jp[er dr[pj
光照延續時間	gl[xe vc[od yj[pj xu[su ui[oc jm[mo
光致變色	gl[xe vi[hw bm[yy se[db
光致分解	gl[xe vi[hw ff[bd jp[dd
光致復活作用	gl[xe vi[hw fu[ro ho[dq zo[rv ys[ou
光致還原	gl[xe vi[hw hr[bz yr[ib
光致解離	gl[xe vi[hw jp[dd li[wk
光致酶促修復	gl[xe vi[hw mw[yr cu[rz xq[ru fu[ro
光致酶修復	gl[xe vi[hw mw[yr xq[ru fu[ro
光致蛻變	gl[xe vi[hw tv[ib bm[yy
光致原生質流動	gl[xe vi[hw yr[ib ug[pf vi[pu lq[dw ds[el
光週期現象	gl[xe vz[kt qi[qo xm[wj xl[dk
光自養生物	gl[xe zi[pm yh[yp ug[pf wu[nb
檜柏綠色	gv[ar bd[ab lv[sx se[db
鬼筆毒環肽	gv[be bi[vm du[fm hr[wb td[od
硅鞭藻綱	gv[et bm[gr zc[cd gh[sk
歸巢本領	gv[ux ic[vo bf[ah lk[ry
硅沉著病	gv[et if[dg vo[ym bk[bh
癸二烯酸	gv[dt er[hh xi[hi sr[ys
規範鹼基	gv[ej fj[cd jm[ew ji[qt
規範序列	gv[ej fj[cd xu[gy lp[hd
硅肺	gv[et fw[oh
歸化種	gv[ux hx[rq vs[hv
歸家衝動	gv[ux jx[gu is[dv ds[el
硅甲藻黃素	gv[et jx[ou zc[cd hl[gy su[fy
硅結節	gv[et jp[su jp[ce
鮭精蛋白	gv[yt jk[mf dj[pi bd[po
鬼臼毒素	gv[be jq[pu du[fm su[fy
鬼臼素	gv[be jq[pu su[fy
硅凝膠肉芽腫	gv[et nk[db jn[ol rz[kr ya[cy vs[ov
硅凝膠乳房植入術	gv[et nk[db jn[ol ru[av fh[hf vi[au ru[pd uu[ad
桂皮酸	gv[at pi[vp sr[ys
硅肉芽腫	gv[et rz[kr ya[cy vs[ov
檜素	gv[ar su[fy
檜酸	gv[ar sr[ys
癸酸甘油酯	gv[dt sr[ys gj[nh yz[dy vi[yb
癸酸鹽	gv[dt sr[ys yj[tm
硅酸鹽粘固劑	gv[et sr[ys yj[tm vj[mb gu[wg ji[wd
檜萜	gv[ar tp[cj
檜萜醇	gv[ar tp[cj iy[yw
癸烷	gv[dt wj[hg
硅烷化腦苷脂	gv[et wj[hg hx[rq nc[ow gj[cg vi[ob
硅烷化試劑	gv[et wj[hg hx[rq ui[yq ji[wd
癸烷雙胺	gv[dt wj[hg ul[yy an[og
癸烯酸	gv[dt xi[hi sr[ys
癸烯酰基	gv[dt xi[hi xm[yn ji[qt
癸酰	gv[dt xm[yn
癸酰基	gv[dt xm[yn ji[qt
硅橡膠印模材料	gv[et xl[ad jn[ol yb[pe mu[ac cd[ac ln[md
桂櫻苷	gv[at yk[ab gj[cg
硅藻綱	gv[et zc[cd gh[sk
硅藻黃素	gv[et zc[cd hl[gy su[fy
硅藻黃質	gv[et zc[cd hl[gy vi[pu
