阿多諾	aa[ek do[xx no[yc
以義為利	yi[sr yi[di ww[dl li[hd
一陰一陽之謂道	yi[hh yb[eo yi[hh yh[eo vi[dv ww[yt dc[bz
意欲	yi[lx yu[bd
以元為本	yi[sr yr[ee ww[dl bf[ah
意在筆前	yi[lx zd[ut bi[vm qm[bo
異則異之	yi[kc ze[bd yi[kc vi[dv
一真法界	yi[hh vf[uj fa[dt jp[tr
一真絕待	yi[hh vf[uj jt[sd dd[rt
以真為師	yi[sr vf[uj ww[dl ui[uh
一致百慮	yi[hh vi[hw bd[eo lv[hx
意之所在便是物	yi[lx vi[dv so[pj zd[ut bm[rh ui[op wu[nb
以知為力	yi[sr vi[uk ww[dl li[vp
以智相識	yi[sr vi[uo xl[am ui[yk
一中多	yi[hh vs[ku do[xx
一種萬實	yi[hh vs[hv wj[hv ui[gd
一週而一不周	yi[hh vz[kt er[ek yi[hh bu[eu vz[kt
依自不依他	yi[ry zi[pm bu[eu yi[ry ta[ry
引蔽習染	yb[gu bi[cb xi[vd rj[da
因革	yb[wd ge[nk
隱栝之道	yb[ed gx[aq vi[dv dc[bz
因果	yb[wd go[oa
因果報應	yb[wd go[oa bc[fe yk[gx
因過而知	yb[wd go[cz er[ek vi[uk
因果非物	yb[wd go[oa fw[su wu[nb
殷海光	yb[pj hd[dr gl[xe
殷浩	yb[pj hc[dn
因門六義	yb[wd mf[du lq[wb yi[di
因明	yb[wd mk[oo
陰柔之美	yb[eo rz[ya vi[dv mw[bw
因三相	yb[wd sj[hh xl[am
因勢慎小	yb[wd ui[fl uf[xu xn[ub
因十四過	yb[wd ui[hu si[we go[cz
尹焞	yb[xp tv[[
尹文	yb[xp wf[wi
尹文子	yb[xp wf[wi zi[lh
因悟而知	yb[wd wu[xw er[ek vi[uk
因習而知	yb[wd xi[vd er[ek vi[uk
隱秀	yb[ed xq[hn
因循革化	yb[wd xy[rp ge[nk hx[rq
陰陽	yb[eo yh[eo
陰陽五行說	yb[eo yh[eo wu[hu xk[rh uo[yb
陰陽相薄	yb[eo yh[eo xl[am bo[cd
陰陽之大義	yb[eo yh[eo vi[dv da[hr yi[di
因疑而知	yb[wd yi[bs er[ek vi[uk
因緣	yb[wd yr[sv
氤氳	yb[qw yy[qo
絪縕	yb[[ yy[so
因知以進行	yb[wd vi[uk yi[sr jb[ez xk[rh
陰騭之說	yb[eo vi[em vi[dv uo[yb
贏絀變化	yk[wo iu[si bm[yy hx[rq
應化之道	yk[gx hx[rq vi[dv dc[bz
盈堅白	yk[nm jm[ut bd[po
攖寧	yk[fb nk[gd
營魄	yk[ck po[bg
贏縮轉化	yk[wo so[sg vr[ie hx[rq
盈天地者無非物	yk[nm tm[hd di[ty ve[to wu[ee fw[su wu[nb
盈天地之間唯萬物	yk[nm tm[hd di[ty vi[dv jm[mo ww[kv wj[hv wu[nb
英雄與時勢互為因果	yk[ck xs[uv yu[hv ui[oc ui[fl hu[hv ww[dl yb[wd go[oa
盈虛	yk[nm xu[hy
郢有天下	yk[ke yz[uo tm[hd xx[hb
用常動	ys[ou ih[xk ds[el
永恆不變	ys[dv hg[xh bu[eu bm[yy
永恆存在	ys[dv hg[xh cy[uz zd[ut
永恆真理	ys[dv hg[xh vf[uj li[wo
用名以亂名	ys[ou mk[xk yi[sr lr[qv mk[xk
用名以亂實	ys[ou mk[xk yi[sr lr[qv ui[gd
用實以亂名	ys[ou ui[gd yi[sr lr[qv mk[xk
有待	yz[uo dd[rt
有對	yz[uo dv[yc
有對爭而後能進	yz[uo dv[yc vg[dx er[ek hz[pk ng[sb jb[ez
猶火之燃燭	yz[qy ho[dp vi[dv rj[hx vu[hi
有跡	yz[uo ji[yz
有教無類	yz[uo jn[tw wu[ee lw[md
有漏	yz[uo lz[du
又名	yz[vd mk[xk
有名	yz[uo mk[xk
有情	yz[uo qk[xf
有窮	yz[uo qs[xl
有若	yz[uo ro[cu
有生於無	yz[uo ug[pf yu[eu wu[ee
有統一而後能成	yz[uo ts[sw yi[hh er[ek hz[pk ng[sb ig[wv
遊外弘內	yz[df wd[xb hs[gs nw[kr
有為	yz[uo ww[dl
有為法	yz[uo ww[dl fa[dt
有我之境	yz[uo wo[pf vi[dv jk[tl
有無	yz[uo wu[ee
有無混一之常	yz[uo wu[ee hy[do yi[hh vi[dv ih[xk
有無相生	yz[uo wu[ee xl[am ug[pf
有物有則	yz[uo wu[nb yz[uo ze[bd
有物之域	yz[uo wu[nb vi[dv yu[tg
有限性	yz[uo xm[eg xk[xp
有相	yz[uo xl[am
遊心	yz[df xb[dv
有因而無生焉	yz[uo yb[wd er[ek wu[ee ug[pf yj[hh
遊於藝	yz[df yu[eu yi[cv
有子	yz[uo zi[lh
遊酢	yz[df zo[yv
玉柄麈尾	yu[wd bk[ah vu[gd ww[um
虞翻	yu[hk fj[px
于光遠	yu[eu gl[xe yr[ez
于吉	yu[eu ji[uk
餘家菊	yu[re jx[gu ju[cb
餘靖	yu[re jk[lf
與民同樂	yu[hv mb[kv ts[kh le[px
俞曲園	yu[rh qu[ou yr[we
喻十過	yu[kr ui[hu go[cz
喻體	yu[kr ti[ra
與天為徙	yu[hv tm[hd ww[dl xi[rv
與天為一	yu[hv tm[hd ww[dl yi[hh
宇徙久	yu[ge xi[rv jq[xd
喻依	yu[kr yi[ry
余英時	yu[re yk[ck ui[oc
虞愚	yu[hk yu[ox
俞樾	yu[rh yt[az
豫則立	yu[yd ze[bd li[lh
宇宙	yu[ge vz[gy
宇宙便是吾心	yu[ge vz[gy bm[rh ui[op wu[wk xb[dv
宇宙觀	yu[ge vz[gy gr[yj
宇宙之磚	yu[ge vz[gy vi[dv vr[ee
袁粲	yr[tk cj[bm
圓成實性	yr[wk ig[wv ui[gd xk[xp
緣道理	yr[sv dc[bz li[wo
緣督為經	yr[sv du[um ww[dl jk[ss
轅固生	yr[it gu[wg ug[pf
圓寂	yr[wk ji[gu
元結	yr[ee jp[su
元精	yr[ee jk[mf
袁枚	yr[tk mw[aw
元氣	yr[ee qi[rh
緣起	yr[sv qi[zk
元氣本體論	yr[ee qi[rh bf[ah ti[ra ly[yr
元氣之外無太極	yr[ee qi[rh vi[dv wd[xb wu[ee td[dd ji[aj
元氣自動論	yr[ee qi[rh zi[pm ds[el ly[yr
元氣自然論	yr[ee qi[rh zi[pm rj[xd ly[yr
緣情論	yr[sv qk[xf ly[yr
圓融三諦	yr[wk rs[hi sj[hh di[yl
緣生	yr[sv ug[pf
原始反終	yr[ib ui[ns fj[py vs[sw
元始天尊	yr[ee ui[ns tm[hd zy[bc
原始要終	yr[ib ui[ns yc[xn vs[sw
緣天官	yr[sv tm[hd gr[gu
元享利貞	yr[ee xl[wz li[hd vf[bb
袁燮	yr[tk xp[hy
原型觀念	yr[ib xk[kt gr[yj nm[rx
元照	yr[ee vc[od
元知	yr[ee vi[uk
原質	yr[ib vi[pu
原子論者	yr[ib zi[lh ly[yr ve[to
月旦評	yt[ke dj[oh pk[yp
約定俗成	yt[sb dk[gp su[rb ig[wv
約公元前	yt[sb gs[bs yr[ee qm[bo
越名教而任自然	yt[zh mk[xk jn[tw er[ek rf[rq zi[pm rj[xd
月映萬川	yt[ke yk[ok wj[hv ir[pu
惲代英	yy[xg dd[rq yk[ck
雲門三句	yy[es mf[du sj[hh ju[bk
韻味說	yy[lb ww[kh uo[yb
允執其中	yy[se vi[fj qi[cb vs[ku
宰理	zd[gl li[wo
宰我	zd[gl wo[pf
災異	zd[gh yi[kc
宰予	zd[gl yu[sv
在運動中	zd[ut yy[ez ds[el vs[ku
暫時變動	zj[io ui[oc bm[yy ds[el
藏傳因明	zh[cw ir[re yb[wd mk[oo
臧三耳	zh[wk sj[hh er[hu
臧文仲	zh[wk wf[wi vs[rv
鑿不圍枘	zc[yb bu[eu ww[ww rv[ak
造命	zc[nz mk[rh
早期希臘哲學	zc[ou qi[qo xi[iu la[og ve[fk xt[xz
造物者	zc[nz wu[nb ve[to
增多人性	zg[tb do[xx rf[pd xk[xp
曾國藩	zg[bo go[ww fj[cd
曾參	zg[bo uf[sd
增益執	zg[tb yi[bm vi[fj
曾子	zg[bo zi[lh
湛甘泉	vj[dq gj[nh qr[bu
詹何	vj[dy he[rk
戰略學	vj[bg lt[tw xt[xz
湛然	vj[dq rj[xd
湛若水	vj[dq ro[cu uv[uu
章炳麟	vh[lo bk[hh lb[gm
張伯端	vh[gi bo[rb dr[lu
張伯行	vh[gi bo[rb xk[rh
張岱年	vh[gi dd[ru nm[rn
張道陵	vh[gi dc[bz lk[et
張東蓀	vh[gi ds[qx sy[cz
張韓	vh[gi hj[uw
張衡	vh[gi hg[rd
張橫渠	vh[gi hg[ag qu[da
張華	vh[gi hx[ru
張惠言	vh[gi hv[hx yj[we
張譏	vh[gi ji[yj
張角	vh[gi jn[do
張九成	vh[gi jq[pv ig[wv
張居正	vh[gi ju[ug vg[hv
張君房	vh[gi jy[xk fh[hf
張君勱	vh[gi jy[xk md[wl
張陵	vh[gi lk[et
張魯	vh[gi lu[yo
張履祥	vh[gi lv[ur xl[uy
張南軒	vh[gi nj[uk xr[ig
張融	vh[gi rs[hi
張如心	vh[gi ru[nk xb[dv
張三丰	vh[gi sj[hh fg[su
張申府	vh[gi uf[ou fu[gr
張盛	vh[gi ug[wm
張栻	vh[gi ui[[
張世英	vh[gi ui[nv yk[ck
章實齋	vh[lo ui[gd vd[we
章士釗	vh[lo ui[uh vc[jd
張崧年	vh[gi ss[ua nm[rn
章太炎	vh[lo td[dd yj[hh
彰往察來	vh[lp wh[rd ia[gx ld[hm
張遐	vh[gi xx[kz
張修	vh[gi xq[ru
章學誠	vh[lo xt[xz ig[yw
張楊園	vh[gi yh[av yr[we
張儀	vh[gi yi[rd
張元忭	vh[gi yr[ee bm[xd
張載	vh[gi zd[ti
張湛	vh[gi vj[dq
張之洞	vh[gi vi[dv ds[dk
張仲景	vh[gi vs[rv jk[ow
照單全收	vc[od dj[bo qr[rw uz[vw
趙復	vc[zi fu[ro
趙歸真	vc[zi gv[ux vf[uj
趙紀彬	vc[zi ji[sk bb[aa
趙歧	vc[zi qi[vu
趙蕤	vc[zi rv[cu
朝三暮四	vc[uo sj[hh mu[co si[we
遮詮與表詮	ve[gz qr[yr yu[hv bn[fy qr[yr
這些思想	ve[wz xp[ve si[tx xl[ax
哲學	ve[fk xt[xz
哲學基礎	ve[fk xt[xz ji[qt iu[ei
哲學論戰	ve[fk xt[xz ly[yr vj[bg
哲學史	ve[fk xt[xz ui[ki
哲學思維	ve[fk xt[xz si[tx ww[sv
哲學體系	ve[fk xt[xz ti[ra xi[py
哲學學派	ve[fk xt[xz xt[xz pd[dp
哲學學說	ve[fk xt[xz xt[xz uo[yb
哲學研究	ve[fk xt[xz yj[ek jq[xj
哲學之父	ve[fk xt[xz vi[dv fu[bi
哲學追求	ve[fk xt[xz vv[pz qq[hu
這一主義	ve[wz yi[hh vu[dw yi[di
折衷主義	ve[fj vs[wv vu[dw yi[di
真德秀	vf[uj de[ru xq[hn
真諦	vf[uj di[yl
貞而不諒	vf[bb er[ek bu[eu ll[yw
真跡	vf[uj ji[yz
真幾	vf[uj ji[pv
真己	vf[uj ji[kv
真可	vf[uj ke[dk
真理	vf[uj li[wo
真理性	vf[uj li[wo xk[xp
甄鸞	vf[xw lr[yn
真趣	vf[uj qu[ze
真人	vf[uj rf[pd
真如	vf[uj ru[nk
真善美	vf[uj uj[yk mw[bw
珍生	vf[wr ug[pf
真實本質	vf[uj ui[gd bf[ah vi[pu
真實的存在	vf[uj ui[gd de[bb cy[uz zd[ut
真實知識	vf[uj ui[gd vi[uk ui[yk
真唯識量	vf[uj ww[kv ui[yk ll[oh
真性	vf[uj xk[xp
真一	vf[uj yi[hh
真一統萬一	vf[uj yi[hh ts[sw wj[hv yi[hh
真一之道	vf[uj yi[hh vi[dv dc[bz
真宰	vf[uj zd[gl
真正的社會主義	vf[uj vg[hv de[bb ue[ut hv[re vu[dw yi[di
真知	vf[uj vi[uk
正德	vg[hv de[ru
正法眼藏	vg[hv fa[dt yj[mg ch[cw
正反	vg[hv fj[py
正反合	vg[hv fj[py he[rh
鄭觀應	vg[be gr[yj yk[gx
證會	vg[yh hv[re
整理材料	vg[hh li[wo cd[ac ln[md
證量	vg[yh ll[oh
正名	vg[hv mk[xk
正命	vg[hv mk[rh
正奇	vg[hv qi[dk
正奇有位	vg[hv qi[dk yz[uo ww[rl
爭起於不足	vg[dx qi[zk yu[eu bu[eu zu[kv
鄭樵	vg[be qn[av
正確認識	vg[hv qt[ed rf[yr ui[yk
整體需要	vg[hh ti[ra xu[ye yc[xn
鄭鮮之	vg[be xm[yy vi[dv
鄭昕	vg[be xb[oj
正心	vg[hv xb[dv
鄭興	vg[be xk[xb
鄭玄	vg[be xr[wy
正言若反	vg[hv yj[we ro[cu fj[py
正誼不謀利	vg[hv yi[yg bu[eu mz[yg li[hd
鄭隱	vg[be yb[ed
徵知	vg[rh vi[uk
政治傳統	vg[hw vi[ds ir[re ts[sw
政治鬥爭	vg[hw vi[ds dz[du vg[dx
政治活動	vg[hw vi[ds ho[dq ds[el
政治家篇	vg[hw vi[ds jx[gu pm[vh
政治上層建築	vg[hw vi[ds uh[bh cg[ue jm[yj vu[vg
政治學家	vg[hw vi[ds xt[xz jx[gu
政治哲學	vg[hw vi[ds ve[fk xt[xz
鄭眾	vg[be vs[rr
證自證分	vg[yh zi[pm vg[yh ff[bd
知彼知己	vi[uk bi[rp vi[uk ji[kv
知材	vi[uk cd[ac
質測	vi[pu ce[db
知常	vi[uk ih[xk
支讖	vi[uy if[yr
至誠能化	vi[ht ig[yw ng[sb hx[rq
至誠如神	vi[ht ig[yw ru[nk uf[uo
執道	vi[fj dc[bz
支道林	vi[uy dc[bz lb[aa
執道守度	vi[fj dc[bz uz[gc du[gn
指導原理	vi[fb dc[kc yr[ib li[wo
值得擁有	vi[ru de[ro ys[fo yz[uo
至德之世	vi[ht de[ru vi[dv ui[nv
支遁	vi[uy dy[pz
志功	vi[ux gs[gl
止觀	vi[uh gr[yj
智慧	vi[uo hv[fx
知接	vi[uk jp[fl
直覺	vi[uj jt[xj
知覺	vi[uk jt[xj
知覺運動	vi[uk jt[xj yy[ez ds[el
至樂	vi[ht le[px
至理	vi[ht li[wo
質力	vi[pu li[vp
知力	vi[uk li[vp
知禮	vi[uk li[uv
支離事業	vi[uy li[wk ui[hk ye[ub
質力相推	vi[pu li[vp xl[am tv[fv
執兩用中	vi[fj ll[hk ys[ou vs[ku
致良知	vi[hw ll[dg vi[uk
質料	vi[pu ln[md
支婁迦讖	vi[uy lz[mn jx[lz if[yr
制民之產	vi[nd mb[kv vi[dv ij[lp
制名指實	vi[nd mk[xk vi[fb ui[gd
制名之樞要	vi[nd mk[xk vi[dv uu[ak yc[xn
知難行易	vi[uk nj[yv xk[rh yi[ob
知能	vi[uk ng[sb
止念	vi[uh nm[rx
芝諾	vi[cv no[yc
知氣	vi[uk qi[rh
支謙	vi[uy qm[yb
至人	vi[ht rf[pd
智仁勇	vi[uo rf[re ys[sl
質日代而行如一	vi[pu ri[wh dd[rq er[ek xk[rh ru[nk yi[hh
知實	vi[uk ui[gd
智士篇	vi[uo ui[uh pm[vh
知識社會學	vi[uk ui[yk ue[ut hv[re xt[xz
知是行之始	vi[uk ui[op xk[rh vi[dv ui[ns
制天命而用之	vi[nd tm[hd mk[rh er[ek ys[ou vi[dv
質文代變	vi[pu wf[wi dd[rq bm[yy
至無	vi[ht wu[ee
指物	vi[fb wu[nb
知物由學	vi[uk wu[nb yz[ou xt[xz
知先規而後為之	vi[uk xm[ne gv[ej er[ek hz[pk ww[dl vi[dv
知先行後	vi[uk xm[ne xk[rh hz[pk
治心	vi[ds xb[dv
志行	vi[ux xk[rh
知行	vi[uk xk[rh
知行分工	vi[uk xk[rh ff[bd gs[hu
知行分任	vi[uk xk[rh ff[bd rf[rq
知行合一	vi[uk xk[rh he[rh yi[hh
知行兼舉	vi[uk xk[rh jm[bh ju[xf
知行相須互發	vi[uk xk[rh xl[am xu[py hu[hv fa[vy
知行相資以為用	vi[uk xk[rh xl[am zi[db yi[sr ww[dl ys[ou
智旭	vi[uo xu[jo
直尋	vi[uj xy[xc
智儼	vi[uo yj[rh
知言	vi[uk yj[we
執要	vi[fj yc[xn
執一不二	vi[fj yi[hh bu[eu er[hh
志壹動氣	vi[ux yi[ud ds[el qi[rh
執一統眾	vi[fj yi[hh ts[sw vs[rr
知易行難	vi[uk yi[ob xk[rh nj[yv
知音	vi[uk yb[lo
質用	vi[pu ys[ou
知有所合謂之智	vi[uk yz[uo so[pj he[rh ww[yt vi[dv vi[uo
止於至善	vi[uh yu[eu vi[ht uj[yk
指月	vi[fb yt[ke
智者篇	vi[uo ve[to pm[vh
致知	vi[hw vi[uk
知之不若行之	vi[uk vi[dv bu[eu ro[cu xk[rh vi[dv
執中	vi[fj vs[ku
知足不辱	vi[uk zu[kv bu[eu ru[ic
知足常足	vi[uk zu[kv ih[xk zu[kv
仲長敖	vs[rv ih[ph ao[fw
仲長統	vs[rv ih[ph ts[sw
忠誠可靠	vs[vx ig[yw ke[dk kc[nf
中道	vs[ku dc[bz
中道觀	vs[ku dc[bz gr[yj
重點論	vs[ph dm[bd ly[yr
种放	vs[hv fh[fw
眾甫	vs[rr fu[uo
仲弓	vs[rv gs[kv
中國哲學名詞	vs[ku go[ww ve[fk xt[xz mk[xk ci[yv
中行	vs[ku hh[rh
中和	vs[ku he[hk
中和之美	vs[ku he[hk vi[dv mw[bw
鍾會	vs[jv hv[re
種類相產	vs[hv lw[md xl[am ij[lp
仲良	vs[rv ll[dg
仲尼	vs[rv ni[ub
鍾嶸	vs[jv rs[uc
眾生	vs[rr ug[pf
中世紀	vs[ku ui[nv ji[sk
忠恕之道	vs[vx uu[nx vi[dv dc[bz
中體西用	vs[ku ti[ra xi[hk ys[ou
重同	vs[ph ts[kh
中五說	vs[ku wu[hu uo[yb
踵息	vs[zp xi[zx
忠孝仁愛信義和平	vs[vx xn[tz rf[re ai[au xb[ry yi[di he[hk pk[hb
中學其本	vs[ku xt[xz qi[cb bf[ah
眾議參同	vs[rr yi[yd cj[sd ts[kh
中庸	vs[ku ys[gx
仲由	vs[rv yz[ou
種子	vs[hv zi[lh
周惇頤	vz[kt dy[xw yi[ky
周敦頤	vz[kt dy[ww yi[ky
周公	vz[kt gs[bs
周濂溪	vz[kt lm[dg xi[da
周汝登	vz[kt ru[dn dg[dd
周樹人	vz[kt uu[ay rf[pd
周顒	vz[kt ys[[
周予同	vz[kt yu[sv ts[kh
著變	vu[ct bm[yy
朱伯崑	vu[ph bo[rb ky[[
朱次琦	vu[ph ci[dd qi[wd
竺道生	vu[ve dc[bz ug[pf
鑄鼎象物	vu[jf dk[mv xl[dk wu[nb
竺法護	vu[ve fa[dt hu[fh
朱光潛	vu[ph gl[xe qm[de
袾宏	vu[[ hs[gu
朱晦庵	vu[ph hv[or an[gd
燭火之喻	vu[hi ho[dp vi[dv yu[kr
主靜	vu[dw jk[fd
主敬	vu[dw jk[cw
朱陸異同	vu[ph lu[ef yi[kc ts[kh
著名學派	vu[ct mk[xk xt[xz pd[dp
朱謙之	vu[ph qm[yb vi[dv
朱世卿	vu[ph ui[nv qk[pg
朱士行	vu[ph ui[uh xk[rh
朱舜水	vu[ph uy[ax uv[uu
麈談	vu[gd tj[yh
朱熹	vu[ph xi[ud
主要教條	vu[dw yc[xn jn[tw tn[wa
主要矛盾	vu[dw yc[xn mc[yp dy[pu
主要矛盾方面	vu[dw yc[xn mc[yp dy[pu fh[dw mm[ew
主一	vu[dw yi[hh
主意	vu[dw yi[lx
朱一新	vu[ph yi[hh xb[lj
住在	vu[rd zd[ut
朱澤雲	vu[ph ze[dy yy[es
朱震	vu[ph vf[yi
朱執信	vu[ph vi[fj xb[ry
朱之瑜	vu[ph vi[dv yu[wr
諸子合觀	vu[yt zi[lh he[rh gr[yj
轉識成智	vr[ie ui[yk ig[wv vi[uo
顓孫師	vr[uy sy[zx ui[uh
轉依	vr[ie yi[ry
莊存與	vl[gt cy[uz yu[hv
莊周	vl[gt vz[kt
莊周夢蝶	vl[gt vz[kt mg[ax dp[in
莊子	vl[gt zi[lh
自比量	zi[pm bi[bb ll[oh
子產	zi[lh ij[lp
自得	zi[pm de[ro
自爾	zi[pm er[dx
自反	zi[pm fj[py
子貢	zi[lh gs[gb
子罕	zi[lh hj[gg
自化	zi[pm hx[rq
子華子	zi[lh hx[ru zi[lh
子路	zi[lh lu[zw
子莫	zi[lh mo[co
自然	zi[pm rj[xd
自然本身	zi[pm rj[xd bf[ah uf[pu
自然發生論	zi[pm rj[xd fa[vy ug[pf ly[yr
自然觀	zi[pm rj[xd gr[yj
自然過程	zi[pm rj[xd go[cz ig[hk
自然科學	zi[pm rj[xd ke[hd xt[xz
自然命定論	zi[pm rj[xd mk[rh dk[gp ly[yr
自然現象	zi[pm rj[xd xm[wj xl[dk
自然與必然非二事	zi[pm rj[xd yu[hv bi[xp rj[xd fw[su er[hh ui[hk
自然哲學	zi[pm rj[xd ve[fk xt[xz
自然哲學家	zi[pm rj[xd ve[fk xt[xz jx[gu
自然哲學時期	zi[pm rj[xd ve[fk xt[xz ui[oc qi[qo
自然之命	zi[pm rj[xd vi[dv mk[rh
自然之說	zi[pm rj[xd vi[dv uo[yb
自然主義的人生觀	zi[pm rj[xd vu[dw yi[di de[bb rf[pd ug[pf gr[yj
梓慎	zi[al uf[xu
自生	zi[pm ug[pf
自生而必體有	zi[pm ug[pf er[ek bi[xp ti[ra yz[uo
自適	zi[pm ui[qz
子思	zi[lh si[tx
自為	zi[pm ww[dl
滋味說	zi[db ww[kh uo[yb
自我滿足	zi[pm wo[pf mj[dc zu[kv
自我意識	zi[pm wo[pf yi[lx ui[yk
子夏	zi[lh xx[ew
自相	zi[pm xl[am
自相矛盾	zi[pm xl[am mc[yp dy[pu
自性	zi[pm xk[xp
自有	zi[pm yz[uo
子游	zi[lh yz[df
自由思想者	zi[pm yz[ou si[tx xl[ax ve[to
自由王國	zi[pm yz[ou wh[su go[ww
自由意志	zi[pm yz[ou yi[lx vi[ux
子羽	zi[lh yu[xx
子張	zi[lh vh[gi
自正	zi[pm vg[hv
自證分	zi[pm vg[yh ff[bd
恣之兩行	zi[dx vi[dv ll[hk hh[rh
自足	zi[pm zu[kv
自尊其心	zi[pm zy[bc qi[cb xb[dv
宗白華	zs[ge bd[po hx[ru
宗柄	zs[ge bk[ah
宗杲	zs[ge gc[oa
宗教教條	zs[ge jn[tw jn[tw tn[wa
宗教倫理	zs[ge jn[tw ly[rr li[wo
宗教哲學	zs[ge jn[tw ve[fk xt[xz
宗九過	zs[ge jq[pv go[cz
宗密	zs[ge mi[gu
宗眼	zs[ge yj[mg
縱慾	zs[sr yu[bd
鄒容	zz[de rs[xr
騶奭	zz[md ui[de
鄒守益	zz[de uz[gc yi[bm
鄒衍	zz[de yj[rd
騶衍	zz[md yj[rd
鏃矢之疾而有不行不止之時	zu[jf ui[rd vi[dv ji[bu er[ek yz[uo bu[eu xk[rh bu[eu vi[uh vi[dv ui[oc
祖述堯舜	zu[uq uu[az yc[qh uy[ax
祖統	zu[uq ts[sw
卒於	zu[wr yu[eu
尊道貴德	zy[bc dc[bz gv[vb de[ru
尊德性而道問學	zy[bc de[ru xk[xp er[ek dc[bz wf[mk xt[xz
尊靈魂輕體魄	zy[bc lk[xh hy[eg qk[is ti[ra po[bg
尊情	zy[bc qk[xf
尊天事鬼	zy[bc tm[hd ui[hk gv[be
尊王賤霸	zy[bc wh[su jm[bj ba[yg
尊心	zy[bc xb[dv
尊疑之學	zy[bc yi[bs vi[dv xt[xz
左慈	zo[ug ci[bx
左丘明	zo[ug qq[jh mk[oo
左舜生	zo[ug uy[ax ug[pf
坐忘	zo[rr wh[wx
作文害道	zo[rv wf[wi hd[gf dc[bz
左雄	zo[ug xs[uv
