阿巴嘎旗	aa[ek ba[ku ga[ke qi[fr
雲龍區	yy[es ls[yp qu[ki
雲龍縣	yy[es ls[yp xm[qs
雲夢縣	yy[es mg[ax xm[qs
雲南省	yy[es nj[uk ug[xm
云溪區	yy[es xi[da qu[ki
鄖西縣	yy[ke xi[hk xm[qs
雲縣	yy[es xm[qs
雲霄縣	yy[es xn[yx xm[qs
雲巖區	yy[es yj[ue qu[ki
鄖陽區	yy[ke yh[eo qu[ki
雲陽縣	yy[es yh[eo xm[qs
雲州區	yy[es vz[dp qu[ki
雜多縣	za[ja do[xx xm[qs
贊皇縣	zj[nb hl[bw xm[qs
棗強縣	zc[cd ql[gk xm[qs
棗陽市	zc[cd yh[eo ui[wj
棗莊市	zc[cd vl[gt ui[wj
澤庫縣	ze[dy ku[gi xm[qs
澤普縣	ze[dy pu[bo xm[qs
澤州縣	ze[dy vz[dp xm[qs
增城區	zg[tb ig[tw qu[ki
曾都區	zg[bo du[te qu[ki
札達縣	va[av da[dz xm[qs
扎賚諾爾區	va[fv ld[lb no[yc er[dx qu[ki
扎賚特旗	va[fv ld[lb te[nt qi[fr
扎蘭屯市	va[fv lj[bs ty[hk ui[wj
扎魯特旗	va[fv lu[yo te[nt qi[fr
扎囊縣	va[fv nh[hk xm[qs
柞水縣	va[av uv[uu xm[qs
湛河區	vj[dq he[dk qu[ki
沾化區	vj[db hx[rq qu[ki
湛江市	vj[dq jl[dg ui[wj
站前區	vj[lb qm[bo qu[ki
沾益區	vj[db yi[bm qu[ki
張北縣	vh[gi bw[ub xm[qs
張店區	vh[gi dm[gb qu[ki
章貢區	vh[lo gs[gb qu[ki
張家川回族自治縣	vh[gi jx[gu ir[pu hv[wk zu[fr zi[pm vi[ds xm[qs
張家港市	vh[gi jx[gu gh[dg ui[wj
張家界市	vh[gi jx[gu jp[tr ui[wj
張家口市	vh[gi jx[gu kz[uv ui[wj
漳平市	vh[dl pk[hb ui[wj
漳浦縣	vh[dl pu[df xm[qs
章丘區	vh[lo qq[jh qu[ki
樟樹市	vh[al uu[ay ui[wj
張灣區	vh[gi wj[dy qu[ki
彰武縣	vh[lp wu[hv xm[qs
漳縣	vh[dl xm[qs
張掖市	vh[gi ye[fw ui[wj
漳州市	vh[dl vz[dp ui[wj
長子縣	vh[ph zi[lh xm[qs
詔安縣	vc[yd an[gn xm[qs
肇東市	vc[hy ds[qx ui[wj
昭化區	vc[od hx[rq qu[ki
昭覺縣	vc[od jt[xj xm[qs
召陵區	vc[dk lk[et qu[ki
昭平縣	vc[od pk[hb xm[qs
肇慶市	vc[hy qk[gd ui[wj
昭蘇縣	vc[od su[cl xm[qs
昭通市	vc[od ts[sz ui[wj
趙縣	vc[zi xm[qs
昭陽區	vc[od yh[eo qu[ki
招遠市	vc[fd yr[ez ui[wj
肇源縣	vc[hy yr[di xm[qs
肇州縣	vc[hy vz[dp xm[qs
柘城縣	ve[ae ig[tw xm[qs
浙江省	ve[df jl[dg ug[xm
柘榮縣	ve[ae rs[ca xm[qs
振安區	vf[fi an[gn qu[ki
鎮安縣	vf[ju an[gn xm[qs
鎮巴縣	vf[ju ba[ku xm[qs
貞豐縣	vf[bb fg[su xm[qs
鎮海區	vf[ju hd[dr qu[ki
湞江區	vf[db jl[dg qu[ki
鎮江市	vf[ju jl[dg ui[wj
鎮康縣	vf[ju kh[gx xm[qs
鎮賚縣	vf[ju ld[lb xm[qs
鎮寧布依族苗族自治縣	vf[ju nk[gd bu[uj yi[ry zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
鎮坪縣	vf[ju pk[tp xm[qs
鎮平縣	vf[ju pk[hb xm[qs
振興區	vf[fi xk[xb qu[ki
鎮雄縣	vf[ju xs[uv xm[qs
鎮原縣	vf[ju yr[ib xm[qs
鎮遠縣	vf[ju yr[ez xm[qs
鎮沅彝族哈尼族拉祜族自治縣	vf[ju yr[de yi[vm zu[fr ha[kr ni[ub zu[fr la[fl hu[ug zu[fr zi[pm vi[ds xm[qs
正安縣	vg[hv an[gn xm[qs
正定縣	vg[hv dk[gp xm[qs
政和縣	vg[hw he[hk xm[qs
正藍旗	vg[hv lj[cu qi[fr
正寧縣	vg[hv nk[gd xm[qs
正鑲白旗	vg[hv xl[jw bd[po qi[fr
蒸湘區	vg[cl xl[da qu[ki
正陽縣	vg[hv yh[eo xm[qs
鄭州市	vg[be vz[dp ui[wj
志丹縣	vi[ux dj[kw xm[qs
治多縣	vi[ds do[xx xm[qs
芝罘區	vi[cv fu[sb qu[ki
芷江侗族自治縣	vi[cv jl[dg ds[rk zu[fr zi[pm vi[ds xm[qs
枝江市	vi[au jl[dg ui[wj
織金縣	vi[sk jb[rw xm[qs
仲巴縣	vs[rv ba[ku xm[qs
中方縣	vs[ku fh[dw xm[qs
中江縣	vs[ku jl[dg xm[qs
鐘樓區	vs[jv lz[am qu[ki
中牟縣	vs[ku mu[sn xm[qs
中寧縣	vs[ku nk[gd xm[qs
中山區	vs[ku uj[uk qu[ki
鐘山區	vs[jv uj[uk qu[ki
中山市	vs[ku uj[uk ui[wj
鐘山縣	vs[jv uj[uk xm[qs
中衛市	vs[ku ww[eh ui[wj
忠縣	vs[vx xm[qs
鍾祥市	vs[jv xl[uy ui[wj
中陽縣	vs[ku yh[eo xm[qs
中原區	vs[ku yr[ib qu[ki
中站區	vs[ku vj[lb qu[ki
周村區	vz[kt cy[ac qu[ki
周口市	vz[kt kz[uv ui[wj
周寧縣	vz[kt nk[gd xm[qs
舟曲縣	vz[pk qu[ou xm[qs
舟山市	vz[pk uj[uk ui[wj
周至縣	vz[kt vi[ht xm[qs
諸城市	vu[yt ig[tw ui[wj
珠海市	vu[wp hd[dr ui[wj
珠暉區	vu[wp hv[og qu[ki
諸暨市	vu[yt ji[go ui[wj
駐馬店市	vu[md ma[vv dm[gb ui[wj
珠山區	vu[wp uj[uk qu[ki
竹山縣	vu[rr uj[uk xm[qs
竹溪縣	vu[rr xi[da xm[qs
株洲市	vu[ap vz[dd ui[wj
莊河市	vl[gt he[dk ui[wj
莊浪縣	vl[gt lh[dl xm[qs
準格爾旗	vy[dv ge[aw er[dx qi[fr
涿鹿縣	vo[du lu[gb xm[qs
卓尼縣	vo[bo ni[ub xm[qs
涿州市	vo[du vz[dp ui[wj
卓資縣	vo[bo zi[db xm[qs
淄博市	zi[dv bo[uf ui[wj
子長市	zi[lh ih[ph ui[wj
淄川區	zi[dv ir[pu qu[ki
自貢市	zi[pm gs[gb ui[wj
秭歸縣	zi[hp gv[ux xm[qs
紫金縣	zi[vy jb[rw xm[qs
自流井區	zi[pm lq[dw jk[ep qu[ki
梓潼縣	zi[al ts[dl xm[qs
資溪縣	zi[db xi[da xm[qs
資興市	zi[db xk[xb ui[wj
資陽區	zi[db yh[eo qu[ki
資陽市	zi[db yh[eo ui[wj
紫陽縣	zi[vy yh[eo xm[qs
資源縣	zi[db yr[di xm[qs
紫云苗族布依族自治縣	zi[vy yy[es mn[ct zu[fr bu[uj yi[ry zu[fr zi[pm vi[ds xm[qs
資中縣	zi[db vs[ku xm[qs
子洲縣	zi[lh vz[dd xm[qs
樅陽縣	zs[ar yh[eo xm[qs
鄒城市	zz[de ig[tw ui[wj
鄒平市	zz[de pk[hb ui[wj
遵化市	zy[bz hx[rq ui[wj
遵義市	zy[bz yi[di ui[wj
左貢縣	zo[ug gs[gb xm[qs
左權縣	zo[ug qr[ay xm[qs
左雲縣	zo[ug yy[es xm[qs
